time,agent_id,mode,target_id,distance,lock_quality,snr
2.0,A0100,SEARCH,B0100,119484.65130103366,0.0,10.0
2.0,A0200,SEARCH,B0100,119565.21276506406,0.0,10.0
2.0,B0100,SEARCH,A0100,119484.65130103366,0.0,10.0
2.0,B0200,SEARCH,A0100,119485.91962481869,0.0,10.0
4.0,A0100,SEARCH,B0100,118600.20415620173,0.0,10.0
4.0,A0200,SEARCH,B0100,118621.95573895106,0.0,10.0
4.0,B0100,SEARCH,A0100,118600.20415620173,0.0,10.0
4.0,B0200,SEARCH,A0100,118601.70566315186,0.0,10.0
6.0,A0100,SEARCH,B0100,117726.37043160599,0.0,10.0
6.0,A0200,SEARCH,B0100,117679.36943205577,0.0,10.0
6.0,B0100,SEARCH,A0100,117726.37043160599,0.0,10.0
6.0,B0200,SEARCH,A0100,117728.18055477802,0.0,10.0
8.0,A0100,SEARCH,B0100,116834.06051548781,0.0,10.0
8.0,A0200,SEARCH,B0100,116735.89320596744,0.0,10.0
8.0,B0100,SEARCH,A0100,116834.06051548781,0.0,10.0
8.0,B0200,SEARCH,A0100,116836.02258273648,0.0,10.0
10.0,A0100,SEARCH,B0100,115962.87629077981,0.0,10.0
10.0,A0200,SEARCH,B0100,115795.6325759433,0.0,10.0
10.0,B0100,SEARCH,A0100,115962.87629077981,0.0,10.0
10.0,B0200,SEARCH,A0100,115964.68368320774,0.0,10.0
12.0,A0100,SEARCH,B0100,115127.65990740471,0.0,10.0
12.0,A0200,SEARCH,B0100,114856.68859747075,0.0,10.0
12.0,B0100,SEARCH,A0100,115127.65990740471,0.0,10.0
12.0,B0200,SEARCH,A0100,115129.05913380432,0.0,10.0
14.0,A0100,SEARCH,B0100,114256.16293271769,0.0,10.0
14.0,A0200,SEARCH,B0100,113923.16144494832,0.0,10.0
14.0,B0100,SEARCH,A0100,114256.16293271769,0.0,10.0
14.0,B0200,SEARCH,A0100,114257.02786863384,0.0,10.0
16.0,A0100,SEARCH,B0100,113368.7232413091,0.0,10.0
16.0,A0200,SEARCH,B0100,112994.17686851512,0.0,10.0
16.0,B0100,SEARCH,A0100,113368.7232413091,0.0,10.0
16.0,B0200,SEARCH,A0100,113369.0388105039,0.0,10.0
18.0,A0100,SEARCH,B0100,112512.50330049192,0.0,10.0
18.0,A0200,SEARCH,B0100,112068.77057143916,0.0,10.0
18.0,B0100,SEARCH,A0100,112512.50330049192,0.0,10.0
18.0,B0200,SEARCH,A0100,112512.4451623585,0.0,10.0
20.0,A0100,SEARCH,B0100,111658.76743067597,0.0,10.0
20.0,A0200,SEARCH,B0100,111147.97284830824,0.0,10.0
20.0,B0100,SEARCH,A0100,111658.76743067597,0.0,10.0
20.0,B0200,SEARCH,A0100,111658.30805277036,0.0,10.0
22.0,A0100,SEARCH,B0100,110810.25612060264,0.0,10.0
22.0,A0200,SEARCH,B0100,110230.74254428118,0.0,10.0
22.0,B0100,SEARCH,A0100,110810.25612060264,0.0,10.0
22.0,B0200,SEARCH,A0100,110809.35132025987,0.0,10.0
24.0,A0100,SEARCH,B0100,109964.40547820053,0.0,10.0
24.0,A0200,SEARCH,B0100,109317.33511786016,0.0,10.0
24.0,B0100,SEARCH,A0100,109964.40547820053,0.0,10.0
24.0,B0200,SEARCH,A0100,109962.99747598957,0.0,10.0
26.0,A0100,SEARCH,B0100,109122.69203639422,0.0,10.0
26.0,A0200,SEARCH,B0100,108407.37396807707,0.0,10.0
26.0,B0100,SEARCH,A0100,109122.69203639422,0.0,10.0
26.0,B0200,SEARCH,A0100,109120.75573358132,0.0,10.0
28.0,A0100,SEARCH,B0100,108283.34717445972,0.0,10.0
28.0,A0200,SEARCH,B0100,107501.15470883207,0.0,10.0
28.0,B0100,SEARCH,A0100,108283.34717445972,0.0,10.0
28.0,B0200,SEARCH,A0100,108280.87812685617,0.0,10.0
30.0,A0100,SEARCH,B0100,107446.79957947815,0.0,10.0
30.0,A0200,SEARCH,B0100,106601.06612763107,0.0,10.0
30.0,B0100,SEARCH,A0100,107446.79957947815,0.0,10.0
30.0,B0200,SEARCH,A0100,107443.79212699931,0.0,10.0
32.0,A0100,SEARCH,B0100,106611.3012737597,0.0,10.0
32.0,A0200,SEARCH,B0100,105704.18286206083,0.0,10.0
32.0,B0100,SEARCH,A0100,106611.3012737597,0.0,10.0
32.0,B0200,SEARCH,A0100,106607.75183834117,0.0,10.0
34.0,A0100,SEARCH,B0100,105775.16709046053,0.0,10.0
34.0,A0200,SEARCH,B0100,104809.69991632304,0.0,10.0
34.0,B0100,SEARCH,A0100,105775.16709046053,0.0,10.0
34.0,B0200,SEARCH,A0100,105771.07190078618,0.0,10.0
36.0,A0100,SEARCH,B0100,104939.9623818246,0.0,10.0
36.0,A0200,SEARCH,B0100,103917.47704037277,0.0,10.0
36.0,B0100,SEARCH,A0100,104939.9623818246,0.0,10.0
36.0,B0200,SEARCH,A0100,104935.32020485774,0.0,10.0
38.0,A0100,SEARCH,B0100,104105.15598543495,0.0,10.0
38.0,A0200,SEARCH,B0100,103026.8852312225,0.0,10.0
38.0,B0100,SEARCH,A0100,104105.15598543495,0.0,10.0
38.0,B0200,SEARCH,A0100,104099.97000781729,0.0,10.0
40.0,A0100,SEARCH,B0100,103271.00804488496,0.0,10.0
40.0,A0200,SEARCH,B0100,102138.16671272734,0.0,10.0
40.0,B0100,SEARCH,A0100,103271.00804488496,0.0,10.0
40.0,B0200,SEARCH,A0100,103265.26499328621,0.0,10.0
42.0,A0100,SEARCH,B0100,102439.9624186622,0.0,10.0
42.0,A0200,SEARCH,B0100,101251.93446951344,0.0,10.0
42.0,B0100,SEARCH,A0100,102439.9624186622,0.0,10.0
42.0,B0200,SEARCH,A0100,102433.65489840606,0.0,10.0
44.0,A0100,SEARCH,B0100,101609.64739427257,0.0,10.0
44.0,A0200,SEARCH,B0100,100369.04951579521,0.0,10.0
44.0,B0100,SEARCH,A0100,101609.64739427257,0.0,10.0
44.0,B0200,SEARCH,A0100,101602.778250082,0.0,10.0
46.0,A0100,SEARCH,B0100,100779.24840225521,0.0,10.0
46.0,A0200,TRACK,B0100,99486.16512098751,0.6,15.0
46.0,B0100,SEARCH,A0100,100779.24840225521,0.0,10.0
46.0,B0200,SEARCH,A0100,100771.81250395646,0.0,10.0
48.0,A0100,TRACK,B0100,99950.43029793604,0.6,15.0
48.0,A0200,TRACK,B0100,98624.3120453548,0.6,15.0
48.0,B0100,TRACK,A0100,99950.43029793604,0.6,15.0
48.0,B0200,TRACK,A0100,99942.42008837995,0.6,15.0
50.0,A0100,TRACK,B0100,99121.85934152512,0.6,15.0
50.0,A0200,TRACK,B0100,97814.8156396648,0.6,15.0
50.0,B0100,TRACK,A0100,99121.85934152512,0.6,15.0
50.0,B0200,TRACK,A0100,99113.26537904861,0.6,15.0
52.0,A0100,TRACK,B0100,98296.09326140159,0.6,15.0
52.0,A0200,TRACK,B0100,97053.87834569723,0.6,15.0
52.0,B0100,TRACK,A0100,98296.09326140159,0.6,15.0
52.0,B0200,TRACK,A0100,98286.89118718659,0.6,15.0
54.0,A0100,TRACK,B0100,97472.68351650372,0.6,15.0
54.0,A0200,TRACK,B0100,96349.26239360041,0.6,15.0
54.0,B0100,TRACK,A0100,97472.68351650372,0.6,15.0
54.0,B0200,TRACK,A0100,97462.84680462659,0.6,15.0
56.0,A0100,TRACK,B0100,96650.8040952905,0.6,15.0
56.0,A0200,TRACK,B0100,95703.70809896165,0.6,15.0
56.0,B0100,TRACK,A0100,96650.8040952905,0.6,15.0
56.0,B0200,TRACK,A0100,96640.31387737553,0.6,15.0
58.0,A0100,TRACK,B0100,95830.52863433145,0.6,15.0
58.0,A0200,TRACK,B0100,95110.29077394075,0.6,15.0
58.0,B0100,TRACK,A0100,95830.52863433145,0.6,15.0
58.0,B0200,TRACK,A0100,95819.36804284225,0.6,15.0
60.0,A0100,TRACK,B0100,95011.05081262399,0.6,15.0
60.0,A0200,TRACK,B0100,94565.67277514952,0.6,15.0
60.0,B0100,TRACK,A0100,95011.05081262399,0.6,15.0
60.0,B0200,TRACK,A0100,94999.21703788184,0.6,15.0
62.0,A0100,TRACK,B0100,94190.97636719568,0.6,15.0
62.0,A0200,TRACK,B0100,94057.03218121747,0.6,15.0
62.0,B0100,TRACK,A0100,94190.97636719568,0.6,15.0
62.0,B0200,TRACK,A0100,94178.47329298219,0.6,15.0
64.0,A0100,TRACK,B0100,93370.28803879696,0.6,15.0
