步数,时间(秒),AO(度),TA(度),距离(m),奖励,动作_ego,动作_enm,ego_x,ego_y,ego_z,enm_x,enm_y,enm_z,ego_alt(km),enm_alt(km),relative_alt(km),ego_speed_mach,enm_speed_mach,energy_diff,advantage_score
0,0.0,0.02137890265753656,179.9786570563423,5478.603844605478,0.0009497879471369975,"[[12, 24, 26, 2]]","[[8, 25, 21, 7]]",48.67212457609094,-5.8405632898939075e-05,6095.978660885097,5527.275969181526,0.000624424146394631,6093.584964096818,6.095978660885097,6.093584964096818,0.002393696788279165,0.714052253948964,0.7142469375057745,0.0023898031171425416,0
1,0.2,0.08821840256023197,179.92812455763095,5381.592471814583,0.0010828905674785821,"[[22, 10, 28, 7]]","[[17, 25, 21, 26]]",97.10911886256144,-0.056344619986020916,6095.990307128964,5478.701589568794,0.05287714806274835,6093.5726340278015,6.095990307128964,6.093572634027802,0.0024176731011618102,0.7107499489305749,0.7148523863515039,0.0023356243527432596,0
2,0.4,0.09915542000639474,179.9714795676703,5284.734716288531,0.0011190011446793428,"[[26, 10, 36, 0]]","[[23, 3, 31, 14]]",145.37785898314814,-0.13457358773644046,6095.792661544143,5430.11257104627,0.07675630776043363,6093.018441223163,6.095792661544143,6.093018441223163,0.002774220320980625,0.7092601869427868,0.7143050553408489,0.0026733229530186975,0
3,0.6000000000000001,0.11571655191066703,179.94895970494133,5187.998141373645,0.001165540625200028,"[[22, 10, 40, 0]]","[[21, 25, 21, 20]]",193.54758832394464,-0.2242207028946268,6095.548448053853,5381.545721492932,0.06755232956982127,6091.973050649878,6.095548448053853,6.091973050649878,0.0035753974039742786,0.7072301793374588,0.714621607370643,0.0034275688433105245,0
4,0.8,0.07307913688835914,179.7578373911498,5091.355618104482,0.0011094110263805323,"[[22, 30, 29, 0]]","[[21, 7, 21, 26]]",241.54708317658606,-0.30349388701120006,6095.773473380747,5332.902677911608,0.18432212566131057,6091.145623924288,6.095773473380747,6.091145623924288,0.00462784945645911,0.7044151989087686,0.7162470973471239,0.004391211487691393,0
5,1.0,0.024818430346028833,179.4376417721446,4994.824365161727,0.00104415215745915,"[[22, 30, 29, 0]]","[[0, 7, 21, 26]]",289.36038740261574,-0.33572555338969323,6096.308078989798,5284.18468284225,0.4988397296539233,6091.088695117196,6.096308078989797,6.091088695117196,0.0052193838726015684,0.7021113944143121,0.716242364052934,0.004936764479828604,0
6,1.2000000000000002,0.014423232756041853,178.92921265379823,4898.574171549291,0.0010456701383214954,"[[22, 10, 29, 0]]","[[27, 7, 32, 14]]",337.0307495014881,-0.3409972802066932,6096.774413500032,5235.604682572252,1.187534516545611,6092.2992270039185,6.096774413500032,6.0922992270039185,0.004475186496113892,0.6999036265670037,0.713331620287733,0.00420662662169935,0
7,1.4000000000000001,0.07177368040578101,178.6006259235142,4802.6828031842615,0.0011661367638926671,"[[22, 10, 21, 3]]","[[27, 7, 32, 14]]",384.5460037301391,-0.3074805859648677,6097.127380173879,5187.228138653403,2.2260724048509246,6094.555016777875,6.097127380173879,6.094555016777875,0.0025723633960037517,0.6978012976889283,0.7115692547061885,0.002297004255659374,0
8,1.6,0.355574239159959,178.4907217651484,4707.0967326968075,0.001682594390583233,"[[11, 35, 36, 4]]","[[30, 7, 32, 14]]",431.9019457672284,-0.10795677034570872,6097.704758648549,5138.9973419775915,3.439146295803539,6097.62336624522,6.097704758648549,6.0976233662452195,8.139240332916131e-05,0.6946751841713973,0.7103419874647752,-0.0002319436625386473,0
9,1.8,0.4730527332421544,178.64875440271078,4611.906074319748,0.0019095481876510137,"[[20, 35, 33, 6]]","[[30, 33, 40, 14]]",479.0176540112616,0.29145159804852483,6098.713973651437,5090.921703888143,4.612687138762226,6101.472190743925,6.098713973651437,6.101472190743925,-0.0027582170924880245,0.6919605407932539,0.7085768642722485,-0.003090543562067616,0
10,2.0,0.44789952703324765,178.9528834316843,4516.950971314968,0.001888428529811892,"[[4, 31, 25, 9]]","[[24, 33, 40, 19]]",526.0148323089238,0.7204997512751561,6099.602759936974,5042.96319635549,5.573725512040255,6105.882282291337,6.099602759936974,6.105882282291337,-0.006279522354363465,0.6902949673429083,0.7083380201775891,-0.006640383411057549,0
11,2.2,0.35141560759941953,179.11546496546407,4422.211095444393,0.0017437364318874417,"[[4, 24, 40, 7]]","[[24, 33, 40, 19]]",572.8216535753986,1.1087097036768228,6100.336892679321,4995.029700993665,6.300821088046405,6110.564498512446,6.100336892679321,6.1105644985124465,-0.01022760583312543,0.6863877848774121,0.708443369967728,-0.010668717534931815,0
12,2.4000000000000004,0.1950897250849419,179.0696714343426,4327.734444086619,0.0014955678150891708,"[[38, 5, 40, 0]]","[[2, 33, 40, 19]]",619.3608792635632,1.378480509480596,6100.930813954963,4947.09167254661,6.999815173618458,6115.130764469042,6.100930813954963,6.1151307644690425,-0.014199950514079518,0.6827493907855858,0.7076409930210914,-0.014697782558789285,0
