步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
0,0.0003736459499678031,3.1411348187804684,5478.610410214214,0.0009498382246328943,"[[12, 24, 26, 2]]","[[12, 24, 16, 2]]"
1,0.001540748992875753,3.140141706610278,5381.736520702697,0.0010829704491197762,"[[22, 10, 28, 7]]","[[22, 10, 28, 7]]"
2,0.0017418747025141755,3.139886967456484,5285.199026837277,0.0011200466735496123,"[[26, 10, 36, 0]]","[[26, 10, 6, 0]]"
3,0.0020616313327166827,3.139878273868989,5188.856473133489,0.0011695809129123335,"[[22, 10, 36, 0]]","[[22, 10, 40, 0]]"
4,0.0012802307482233026,3.140651453368288,5092.853880866054,0.0011095981488112808,"[[22, 30, 29, 0]]","[[22, 30, 29, 2]]"
5,0.0003691030534510737,3.141587250526552,4997.223573699063,0.0010372657168777734,"[[22, 30, 29, 0]]","[[22, 30, 29, 0]]"
6,3.456604346869224e-05,3.1411068527705095,4901.888478939413,0.001023263606174003,"[[22, 10, 29, 0]]","[[11, 31, 25, 4]]"
7,0.0016983257469086854,3.1411816109939967,4806.9599589684,0.0012097746795899293,"[[22, 10, 21, 3]]","[[4, 21, 25, 4]]"
8,0.006899911861680018,3.138672883678638,4712.51817538121,0.001750769953525915,"[[11, 35, 36, 4]]","[[38, 3, 15, 0]]"
9,0.009179957247129878,3.1370141465226267,4618.542078381882,0.0020003540873304755,"[[20, 35, 33, 6]]","[[38, 3, 5, 0]]"
10,0.008975664225523806,3.13697076522983,4524.773019876538,0.0020023500646044073,"[[4, 31, 40, 9]]","[[27, 15, 40, 0]]"
11,0.007299882127849949,3.139571586225581,4431.313848588795,0.0018580671735273508,"[[4, 31, 40, 7]]","[[22, 30, 29, 0]]"
12,0.005543719712756645,3.1407745381707,4338.253087541247,0.0017066440096031531,"[[22, 5, 40, 0]]","[[22, 37, 25, 0]]"
13,0.0051581036543108414,3.141523040613137,4245.483050668025,0.0016932553099513357,"[[22, 5, 40, 0]]","[[7, 21, 20, 0]]"
14,0.002652854948276037,3.1400668046309987,4152.934826943759,0.0014689635033433826,"[[22, 10, 40, 0]]","[[4, 36, 20, 0]]"
15,0.00018089599743300875,3.1413490628559666,4060.6128482851723,0.00124912765944193,"[[22, 34, 8, 0]]","[[4, 21, 5, 4]]"
16,0.0011373293259177655,3.138102510709104,3968.542626371791,0.0013733238906992245,"[[20, 34, 8, 0]]","[[38, 3, 39, 0]]"
17,0.0019957543519853642,3.1355320353836076,3876.618837456049,0.0014890265673475388,"[[22, 10, 33, 0]]","[[38, 3, 39, 0]]"
18,0.00256377912441093,3.1342224339066513,3784.712860100151,0.0015771331267886823,"[[22, 10, 30, 0]]","[[27, 15, 40, 0]]"
19,0.001749078347348501,3.1356957781465336,3692.8314523662134,0.0015285158876407494,"[[22, 10, 33, 0]]","[[22, 37, 17, 0]]"
20,0.0004207881035189477,3.136077957087451,3601.00623461457,0.0014301941200787313,"[[22, 21, 13, 0]]","[[22, 21, 20, 0]]"
21,0.0034255224893455743,3.1349878762233465,3509.2342753892613,0.001766958601255738,"[[20, 35, 33, 0]]","[[22, 21, 20, 0]]"
22,0.005206594162655897,3.1350338432956697,3417.5548553821536,0.0019832657547679627,"[[4, 35, 33, 0]]","[[7, 36, 20, 0]]"
23,0.005043772386630616,3.1325839042199686,3326.132999057592,0.0020071725887185737,"[[4, 19, 40, 0]]","[[22, 11, 20, 0]]"
24,0.0023890057952768045,3.128625672393465,3234.9861691950528,0.0017840246123796946,"[[22, 10, 40, 0]]","[[22, 11, 20, 0]]"
25,0.0004422730244509661,3.132148373829206,3143.965122606699,0.00163407005270611,"[[22, 13, 40, 0]]","[[12, 11, 20, 0]]"
26,0.0015371050427898704,3.140734559771321,3053.0506813384072,0.0017908804538650234,"[[22, 13, 40, 0]]","[[7, 37, 20, 0]]"
27,0.0028356640962393567,3.136011062258333,2962.3399849799716,0.001970851711122607,"[[22, 10, 8, 0]]","[[0, 35, 20, 3]]"
28,0.0026754726705535024,3.1379000979462255,2871.8321253658255,0.0020079900711622214,"[[22, 37, 19, 0]]","[[8, 10, 29, 0]]"
29,0.0023915488051271167,3.1411411365606803,2781.537105114235,0.002036076111431833,"[[22, 37, 8, 0]]","[[31, 15, 40, 0]]"
30,0.0023206202323288786,3.139506807526888,2691.275644883118,0.0020892269868215507,"[[22, 10, 21, 0]]","[[31, 18, 40, 0]]"
31,0.00020280898217125867,3.1394423593685445,2600.946054408319,0.0019419195084906956,"[[12, 13, 20, 0]]","[[31, 18, 40, 1]]"
32,0.0017172655936880659,3.138457120552204,2510.578251592084,0.002162506658229159,"[[22, 28, 20, 0]]","[[27, 13, 40, 0]]"
33,0.00272103602505593,3.140716814732805,2420.2450350832214,0.0023371568819346793,"[[14, 35, 38, 0]]","[[22, 11, 17, 0]]"
34,0.0017300215439131226,3.138362705974644,2330.0248046042466,0.0023179814742698424,"[[17, 10, 15, 0]]","[[22, 37, 20, 0]]"
35,0.000962952772613551,3.1341526679155876,2239.9046120248513,0.002327537059338847,"[[20, 10, 19, 0]]","[[0, 29, 16, 3]]"
36,0.00041396498232311137,3.1311083981601446,2149.8813151110544,0.002366024995803243,"[[20, 13, 19, 0]]","[[10, 33, 0, 0]]"
37,8.280988220311336e-05,3.1324448660420203,2060.0386759089315,0.002434242256411927,"[[20, 34, 32, 0]]","[[13, 4, 29, 0]]"
38,0.00034679026056311316,3.136086680833358,1970.3821192007574,0.0025709706720549634,"[[20, 26, 32, 0]]","[[5, 13, 31, 0]]"
39,0.0013359102236380242,3.137771425652718,1880.9424921305053,0.002790420346802729,"[[5, 10, 7, 0]]","[[5, 33, 19, 0]]"
40,0.0036850436745844875,3.129953352318726,1791.8015044101433,0.0031574355389798994,"[[27, 15, 7, 0]]","[[31, 34, 39, 0]]"
41,0.0044643413942525405,3.1328009657879954,1702.753186078983,0.0033811315127619396,"[[31, 33, 21, 0]]","[[25, 4, 29, 1]]"
42,0.004949639017294471,3.135373330602043,1613.6644252393817,0.0035915825686445415,"[[5, 33, 19, 0]]","[[25, 4, 29, 1]]"
43,0.005601636499671407,3.1312303346753634,1524.5488458429672,0.003837672602646507,"[[5, 13, 39, 0]]","[[25, 4, 40, 1]]"
44,0.008861848422908379,3.1218561681632235,1435.5717947328922,0.004366693103926081,"[[5, 9, 4, 0]]","[[6, 4, 38, 0]]"
45,0.018554515295219974,3.1051239750093935,1346.9456504862064,0.005564799898424328,"[[6, 33, 39, 3]]","[[6, 37, 38, 0]]"
46,0.03377686951445185,3.0834659437584393,1258.8635025698266,0.007346370852360777,"[[6, 33, 39, 0]]","[[6, 37, 38, 0]]"
47,0.04714508443197581,3.063126504493333,1171.2813674360266,0.008979696084058776,"[[6, 33, 20, 0]]","[[6, 37, 29, 0]]"
48,0.05604715535255451,3.052232004701694,1084.121960202251,0.01021249252565759,"[[6, 4, 19, 1]]","[[30, 4, 38, 1]]"
49,0.0669237357529354,3.0376923723660876,997.3346774125163,0.011700714077858271,"[[29, 0, 6, 9]]","[[6, 4, 38, 3]]"
50,0.08270506170177405,3.0062680233298824,910.7909866384214,0.013754219075076731,"[[28, 0, 4, 9]]","[[6, 4, 24, 21]]"
51,0.1053070566486331,2.9675352832498283,824.4528015541218,0.01658798718427453,"[[36, 0, 4, 0]]","[[25, 0, 3, 1]]"
52,0.1463594859255004,2.9255085055513486,738.5298591639674,0.02139700081788204,"[[6, 0, 13, 17]]","[[31, 0, 14, 3]]"
