步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
0,0.00037304282854995865,3.1412117390208656,5478.609345620874,0.0009497780897689573,"[[12, 24, 26, 2]]","[[12, 23, 26, 2]]"
1,0.0015417489086028487,3.1397976850403984,5381.7398859481755,0.0010830698599544946,"[[22, 10, 28, 7]]","[[22, 10, 7, 0]]"
2,0.0017455157454025776,3.139599080817034,5285.211385366679,0.001120408566532865,"[[26, 10, 36, 0]]","[[26, 18, 18, 0]]"
3,0.002068197957135039,3.1395628386239745,5188.887290768117,0.0011702318545638198,"[[22, 10, 36, 0]]","[[22, 18, 29, 2]]"
4,0.0012910391354219097,3.139939058771896,5092.890605322748,0.001110671910855553,"[[22, 30, 29, 0]]","[[22, 30, 29, 0]]"
5,0.0003905196968359507,3.140162246011005,4997.225484654319,0.0010394069987536378,"[[22, 30, 29, 0]]","[[22, 10, 29, 0]]"
6,6.977475055270554e-05,3.1411793508001966,4901.850939751397,0.001026792285140753,"[[22, 10, 29, 0]]","[[22, 10, 29, 0]]"
7,0.0016700622617907004,3.1390285201864807,4806.765798877232,0.001206990328808957,"[[22, 10, 21, 3]]","[[22, 28, 29, 0]]"
8,0.006934259942656215,3.1353216504184016,4712.012522943528,0.0017543185710749089,"[[11, 35, 36, 4]]","[[11, 29, 36, 6]]"
9,0.009327486747951136,3.1339342697243295,4617.7260683979675,0.0020152982622691938,"[[20, 35, 33, 6]]","[[11, 31, 33, 6]]"
10,0.009243782627171807,3.136214968922503,4523.8242464726545,0.0020293935578190336,"[[4, 31, 40, 9]]","[[8, 3, 40, 6]]"
11,0.00764045267745019,3.140272305188922,4430.394478273915,0.0018923582682043153,"[[4, 31, 40, 7]]","[[22, 13, 40, 0]]"
12,0.005899747060487221,3.14042706171048,4337.354490797067,0.0017424854127248313,"[[22, 5, 40, 0]]","[[27, 13, 40, 0]]"
13,0.005498738634064383,3.1379663498679298,4244.535904811327,0.0017275814866852012,"[[22, 5, 40, 0]]","[[25, 24, 32, 1]]"
14,0.0029889271426101595,3.136588677142143,4151.76354506022,0.0015029102186882983,"[[22, 13, 40, 0]]","[[27, 24, 29, 0]]"
15,0.0006470977055286914,3.136230910690984,4058.958390884659,0.0012962494856459856,"[[22, 34, 8, 0]]","[[22, 10, 33, 0]]"
16,0.000364646027134476,3.1377571688961914,3966.197881847242,0.0012968000205353224,"[[22, 22, 33, 0]]","[[22, 10, 33, 0]]"
17,0.0012779366210402192,3.141124793306312,3873.467904023824,0.0014182934478442152,"[[22, 10, 21, 0]]","[[22, 37, 36, 0]]"
18,0.0011109436166290457,3.140243116748533,3780.795038368688,0.0014332178372272483,"[[22, 10, 30, 0]]","[[22, 37, 36, 0]]"
19,0.0017137679220538403,3.13965531959303,3688.1438532905204,0.0015267048029416056,"[[12, 10, 39, 0]]","[[0, 36, 36, 6]]"
20,0.003598110646594965,3.1395364133621597,3595.696352459945,0.001749975679634645,"[[20, 35, 33, 0]]","[[12, 19, 32, 0]]"
21,0.004034752600092385,3.1402219658141846,3503.4859750230503,0.0018302180221819743,"[[20, 35, 33, 0]]","[[0, 10, 38, 9]]"
22,0.0036900183645789393,3.139900651116966,3411.438257185374,0.0018342298122232543,"[[20, 35, 33, 0]]","[[17, 3, 5, 6]]"
23,0.0025817346857309994,3.136405376889098,3319.4494299071657,0.001763993721387428,"[[22, 10, 40, 0]]","[[39, 18, 39, 0]]"
24,0.0027131475692453518,3.1346415493994915,3227.5313057311396,0.0018200065695528442,"[[8, 5, 40, 0]]","[[39, 25, 39, 0]]"
25,0.003163098174854329,3.132698836643015,3135.5989261791133,0.0019103931279999882,"[[22, 10, 40, 0]]","[[22, 31, 8, 0]]"
26,0.003800870014635824,3.1319425628958277,3043.6688440940297,0.0020223017236652664,"[[20, 35, 32, 0]]","[[22, 10, 14, 0]]"
27,0.003919993103709905,3.135748234605774,2951.8612543253794,0.002085272230890352,"[[20, 35, 33, 0]]","[[7, 10, 20, 0]]"
28,0.003432730316336323,3.139643678874564,2860.2031110431435,0.0020907896552182785,"[[20, 35, 33, 0]]","[[7, 28, 20, 6]]"
29,0.0023366645430128842,3.13749647612945,2768.759838783121,0.0020388771191352196,"[[22, 10, 40, 0]]","[[0, 31, 36, 6]]"
30,0.0022789150859575122,3.1400069496177507,2677.5234197076884,0.0020945916327057947,"[[18, 10, 40, 0]]","[[20, 18, 38, 0]]"
31,0.0029960546826103248,3.140876734818066,2586.431849498654,0.0022320235147378163,"[[18, 10, 40, 0]]","[[25, 13, 38, 0]]"
32,0.0035810182730832076,3.1412762031815387,2495.339705207552,0.00236103435671112,"[[20, 13, 40, 0]]","[[24, 13, 39, 0]]"
33,0.004146371245764912,3.1404911632503913,2404.2251414848456,0.0024934445982557714,"[[20, 26, 40, 0]]","[[25, 18, 40, 0]]"
34,0.004327129720641865,3.1409852948907244,2313.123054852586,0.0025933586600777434,"[[20, 26, 40, 0]]","[[22, 28, 40, 0]]"
