步数,时间(秒),AO(度),TA(度),距离(m),奖励,动作_ego,动作_enm,ego_x,ego_y,ego_z,enm_x,enm_y,enm_z,ego_alt(km),enm_alt(km),relative_alt(km),ego_speed_mach,enm_speed_mach,energy_diff,advantage_score
0,0.0,0.02658893296548182,179.9734133236674,5478.343334168669,19.347858699438518,"[[0, 0, 0]]","[[0, 0, 0]]",48.80568888320249,0.0004574022725591931,6096.036920141375,5527.149023051795,-0.00045778965943554795,6093.646538877997,6.096036920141375,6.093646538877997,0.002390381263378316,0.7180046639724612,0.7180047807992475,0.0023903789268420184,0
1,0.2,0.40077619098021716,179.7792809254038,5380.737174090743,6.328977221540072,"[[0, 1, 0]]","[[0, 2, 0]]",97.59219215495204,-0.14134878127924821,6096.750445982792,5478.329360478327,0.10778048680913344,6094.250936281415,6.096750445982792,6.094250936281416,0.0024995097013764678,0.7169557301367697,0.7183056332678452,0.0024725116387545043,0
2,0.4,1.4946098734872648,179.60875365423308,5283.237477533652,-1.9266799856784615,"[[0, 1, 1]]","[[0, 2, 0]]",146.2311600588032,-0.8820086394889586,6098.781065333325,5429.468491320569,0.36120421425243876,6095.596155346352,6.098781065333325,6.095596155346352,0.0031849099869729613,0.7149684474365516,0.7191972795898063,0.003100333343907913,0
3,0.6000000000000001,3.1108482283686882,179.47756724084482,5186.014951145858,-0.19239204692802048,"[[0, 2, 1]]","[[0, 2, 0]]",194.63055116227815,-2.8029847510326817,6102.072011145305,5380.644292070367,0.7399830532754095,6098.0210289576,6.102072011145305,6.0980210289576,0.004050982187704832,0.7131798255468049,0.718523052760676,0.003944117643428058,0
4,0.8,4.639346452435121,179.45907798100595,5089.235320817232,0.7490839223228818,"[[0, 2, 1]]","[[0, 2, 0]]",242.77545119798742,-6.028209026435206,6106.2596866383155,5332.005726669046,1.137953296179262,6101.904537698744,6.106259686638316,6.101904537698744,0.0043551489395712295,0.7114822010802284,0.7163039486621363,0.004258713987932872,0
5,1.0,6.020747839782584,179.24108822853253,4993.126797069393,0.49859918262392,"[[0, 2, 1]]","[[0, 2, 0]]",290.6452797104416,-10.397081998695512,6111.220114643391,5283.757723417336,1.5752240378093347,6107.617465906996,6.111220114643391,6.107617465906996,0.003602648736395153,0.7096296060618279,0.7129659740965893,0.003535921375700468,0
6,1.2000000000000002,7.3616361353119855,178.89199509545537,4897.78942626777,-1.3258683082274558,"[[0, 1, 1]]","[[0, 2, 0]]",338.1142200252407,-15.833859280194929,6117.203772656425,5235.870361401873,2.2228200339045543,6114.799544049645,6.117203772656425,6.114799544049645,0.0024042286067800234,0.7065878575797517,0.7118884127168448,0.0022982175040375807,0
7,1.4000000000000001,8.584936952280893,178.68582478741513,4803.127808611817,-1.970850628788341,"[[0, 1, 1]]","[[0, 2, 0]]",385.03603782629716,-22.183206997514162,6124.535697736968,5188.0977021358885,3.0238297132821117,6122.717163169677,6.1245356977369685,6.1227171631696775,0.0018185345672909747,0.7024069059768314,0.7125960092631771,0.0016147525015641762,0
8,1.6,10.138845766915905,178.54068244586117,4709.2878184712235,-2.2243449029586913,"[[0, 1, 1]]","[[0, 2, 0]]",431.1731067063838,-29.457450840915953,6133.638138353693,5140.3428481618,3.890762937058298,6131.07890314879,6.133638138353692,6.13107890314879,0.0025592352049024214,0.6970518522643188,0.7136047527241718,0.0022281771957057828,0
9,1.8,11.930767612472184,178.4420976114901,4616.471480474394,-1.8934641183320196,"[[0, 2, 1]]","[[0, 2, 0]]",476.28440431340687,-37.90340069910508,6144.590003018066,5092.558717539113,4.762687544250639,6139.682064141249,6.144590003018067,6.139682064141248,0.004907938876818285,0.6911255802295143,0.7146691163477334,0.004437068154453883,0
10,2.0,13.00044017445995,178.33859236508556,4524.383766572677,-0.8966492554519476,"[[0, 1, 1]]","[[0, 2, 0]]",520.6167703505671,-47.276398903142535,6156.660012264845,5044.691534874216,5.600743858703936,6148.280047394102,6.156660012264845,6.148280047394103,0.008379964870742107,0.6888633865690558,0.715621777880399,0.00784479704451524,0
11,2.2,13.70787849051277,178.192187246955,4432.685293055683,-0.5636725931287003,"[[0, 0, 1]]","[[0, 2, 0]]",564.5765056901491,-57.092104418735744,6169.208112134858,4996.806546217488,6.435646361289514,6156.938486346363,6.169208112134858,6.1569384863463625,0.012269625788495553,0.6860008343884989,0.7161686416922516,0.011666269642420346,0
12,2.4000000000000004,14.932238992415702,178.06668720704855,4341.481775648291,-1.1066974686627162,"[[0, 0, 1]]","[[0, 2, 0]]",607.9663301292476,-67.38894831866673,6182.3491639385975,4948.806536438413,7.245571684086144,6165.482263018946,6.182349163938597,6.165482263018945,0.01686690091965204,0.6812315513346414,0.7179346462725071,0.01613283902089524,0
