步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
0,0.021378903,179.9786571,5478.603845,0.000949788,"[[12, 24, 26, 2]]","[[8, 25, 21, 7]]"
1,0.088218403,179.9281246,5381.592472,0.001082891,"[[22, 10, 28, 7]]","[[17, 25, 21, 26]]"
2,0.09915542,179.9714796,5284.734716,0.001119001,"[[26, 10, 36, 0]]","[[23, 3, 31, 14]]"
3,0.115716552,179.9489597,5187.998141,0.001165541,"[[22, 10, 40, 0]]","[[21, 25, 21, 20]]"
4,0.073079137,179.7578374,5091.355618,0.001109411,"[[22, 30, 29, 0]]","[[21, 7, 21, 26]]"
5,0.02481843,179.4376418,4994.824365,0.001044152,"[[22, 30, 29, 0]]","[[0, 7, 21, 26]]"
6,0.014423233,178.9292127,4898.574172,0.00104567,"[[22, 10, 29, 0]]","[[27, 7, 32, 14]]"
7,0.07177368,178.6006259,4802.682803,0.001166137,"[[22, 10, 21, 3]]","[[27, 7, 32, 14]]"
8,0.355574239,178.4907218,4707.096733,0.001682594,"[[11, 35, 36, 4]]","[[30, 7, 32, 14]]"
9,0.473052733,178.6487544,4611.906074,0.001909548,"[[20, 35, 33, 6]]","[[30, 33, 40, 14]]"
10,0.447899527,178.9528834,4516.950971,0.001888429,"[[4, 31, 25, 9]]","[[24, 33, 40, 19]]"
11,0.351415608,179.115465,4422.211095,0.001743736,"[[4, 24, 40, 7]]","[[24, 33, 40, 19]]"
12,0.195089725,179.0696714,4327.734444,0.001495568,"[[38, 5, 40, 0]]","[[2, 33, 40, 19]]"
13,0.09035366,179.056306,4233.547719,0.001338461,"[[22, 13, 40, 0]]","[[2, 0, 40, 19]]"
14,0.08924851,179.2343164,4139.618384,0.001363317,"[[22, 13, 40, 0]]","[[2, 23, 40, 19]]"
15,0.207228562,179.6234397,4045.843067,0.001597213,"[[38, 10, 40, 0]]","[[2, 23, 40, 19]]"
16,0.209117535,179.8884002,3952.170671,0.001629786,"[[22, 31, 8, 0]]","[[2, 0, 40, 19]]"
17,0.143569582,179.9763231,3858.684655,0.001546019,"[[22, 37, 17, 0]]","[[24, 7, 40, 19]]"
18,0.126777562,179.6578328,3765.296151,0.001548833,"[[22, 10, 26, 0]]","[[11, 25, 2, 20]]"
19,0.073429253,179.3566086,3672.223976,0.00148936,"[[4, 21, 20, 0]]","[[11, 25, 29, 1]]"
20,0.396034918,179.3654165,3579.593511,0.002087628,"[[11, 29, 10, 0]]","[[19, 25, 29, 1]]"
21,0.428735503,179.4599045,3487.244124,0.002181671,"[[20, 35, 31, 0]]","[[19, 25, 29, 1]]"
