Time_s,Agent_ID,Radar_Type,Status,Target_ID,Target_Distance_km,SNR_dB,Doppler_Shift_m_s,Lock_Quality,Beam_Angle_deg,Side
0.2,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07345141341327,,,,,
0.2,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07521254655919,,,,,
0.2,B0100,N001VE,SEARCH,A0100,89.07345141341327,0.0,0.0,0.0,0.0,Enemy
0.2,B0200,N001VE,SEARCH,A0100,89.07510745202629,0.0,0.0,0.0,0.0,Enemy
0.4,A0100,AN/APG-68(V)9,SEARCH,B0100,88.92763723622546,,,,,
0.4,A0200,AN/APG-68(V)9,SEARCH,B0100,88.92968628274313,,,,,
0.4,B0100,N001VE,SEARCH,A0100,88.92763723622546,0.0,0.0,0.0,0.0,Enemy
0.4,B0200,N001VE,SEARCH,A0100,88.92900565414165,0.0,0.0,0.0,0.0,Enemy
0.6000000000000001,A0100,AN/APG-68(V)9,SEARCH,B0100,88.78240288766746,,,,,
0.6000000000000001,A0200,AN/APG-68(V)9,SEARCH,B0100,88.78509693632255,,,,,
0.6000000000000001,B0100,N001VE,SEARCH,A0100,88.78240288766746,0.0,0.0,0.0,0.0,Enemy
0.6000000000000001,B0200,N001VE,SEARCH,A0100,88.78310264702479,0.0,0.0,0.0,0.0,Enemy
0.8,A0100,AN/APG-68(V)9,SEARCH,B0100,88.63790670356765,,,,,
0.8,A0200,AN/APG-68(V)9,SEARCH,B0100,88.64162219800225,,,,,
0.8,B0100,N001VE,SEARCH,A0100,88.63790670356765,0.0,0.0,0.0,0.0,Enemy
0.8,B0200,N001VE,SEARCH,A0100,88.63751486721232,0.0,0.0,0.0,0.0,Enemy
1.0,A0100,AN/APG-68(V)9,SEARCH,B0100,88.49432157712498,,,,,
1.0,A0200,AN/APG-68(V)9,SEARCH,B0100,88.49923606600039,,,,,
1.0,B0100,N001VE,SEARCH,A0100,88.49432157712498,0.0,0.0,0.0,0.0,Enemy
1.0,B0200,N001VE,SEARCH,A0100,88.49260801889885,0.0,0.0,0.0,0.0,Enemy
1.2000000000000002,A0100,AN/APG-68(V)9,SEARCH,B0100,88.35170906734622,,,,,
1.2000000000000002,A0200,AN/APG-68(V)9,SEARCH,B0100,88.35787083030073,,,,,
1.2000000000000002,B0100,N001VE,SEARCH,A0100,88.35170906734622,0.0,0.0,0.0,0.0,Enemy
1.2000000000000002,B0200,N001VE,SEARCH,A0100,88.34857158164606,0.0,0.0,0.0,0.0,Enemy
1.4000000000000001,A0100,AN/APG-68(V)9,SEARCH,B0100,88.21034510295965,,,,,
1.4000000000000001,A0200,AN/APG-68(V)9,SEARCH,B0100,88.21783562148158,,,,,
1.4000000000000001,B0100,N001VE,SEARCH,A0100,88.21034510295965,0.0,0.0,0.0,0.0,Enemy
1.4000000000000001,B0200,N001VE,SEARCH,A0100,88.20565042690697,0.0,0.0,0.0,0.0,Enemy
1.6,A0100,AN/APG-68(V)9,SEARCH,B0100,88.07050178043508,,,,,
1.6,A0200,AN/APG-68(V)9,SEARCH,B0100,88.07952245500209,,,,,
1.6,B0100,N001VE,SEARCH,A0100,88.07050178043508,0.0,0.0,0.0,0.0,Enemy
1.6,B0200,N001VE,SEARCH,A0100,88.06400145275643,0.0,0.0,0.0,0.0,Enemy
1.8,A0100,AN/APG-68(V)9,SEARCH,B0100,87.93247084136794,,,,,
1.8,A0200,AN/APG-68(V)9,SEARCH,B0100,87.94335215386974,,,,,
1.8,B0100,N001VE,SEARCH,A0100,87.93247084136794,0.0,0.0,0.0,0.0,Enemy
1.8,B0200,N001VE,SEARCH,A0100,87.92379367124946,0.0,0.0,0.0,0.0,Enemy
2.0,A0100,AN/APG-68(V)9,SEARCH,B0100,87.79626083705838,,,,,
2.0,A0200,AN/APG-68(V)9,SEARCH,B0100,87.80920912005602,,,,,
2.0,B0100,N001VE,SEARCH,A0100,87.79626083705838,0.0,0.0,0.0,0.0,Enemy
2.0,B0200,N001VE,SEARCH,A0100,87.78517376011342,0.0,0.0,0.0,0.0,Enemy
2.2,A0100,AN/APG-68(V)9,SEARCH,B0100,87.66181016456326,,,,,
2.2,A0200,AN/APG-68(V)9,SEARCH,B0100,87.67677825634914,,,,,
2.2,B0100,N001VE,SEARCH,A0100,87.66181016456326,0.0,0.0,0.0,0.0,Enemy
2.2,B0200,N001VE,SEARCH,A0100,87.64834997509614,0.0,0.0,0.0,0.0,Enemy
2.4000000000000004,A0100,AN/APG-68(V)9,SEARCH,B0100,87.5294396317993,,,,,
2.4000000000000004,A0200,AN/APG-68(V)9,SEARCH,B0100,87.54630994458466,,,,,
2.4000000000000004,B0100,N001VE,SEARCH,A0100,87.5294396317993,0.0,0.0,0.0,0.0,Enemy
2.4000000000000004,B0200,N001VE,SEARCH,A0100,87.5137251423848,0.0,0.0,0.0,0.0,Enemy
2.6,A0100,AN/APG-68(V)9,SEARCH,B0100,87.39943124438115,,,,,
2.6,A0200,AN/APG-68(V)9,SEARCH,B0100,87.41816590235481,,,,,
2.6,B0100,N001VE,SEARCH,A0100,87.39943124438115,0.0,0.0,0.0,0.0,Enemy
2.6,B0200,N001VE,SEARCH,A0100,87.38151635517154,0.0,0.0,0.0,0.0,Enemy
2.8000000000000003,A0100,AN/APG-68(V)9,SEARCH,B0100,87.27192301058143,,,,,
2.8000000000000003,A0200,AN/APG-68(V)9,SEARCH,B0100,87.29258075617673,,,,,
2.8000000000000003,B0100,N001VE,SEARCH,A0100,87.27192301058143,0.0,0.0,0.0,0.0,Enemy
2.8000000000000003,B0200,N001VE,SEARCH,A0100,87.25178265572802,0.0,0.0,0.0,0.0,Enemy
3.0,A0100,AN/APG-68(V)9,SEARCH,B0100,87.14694578874698,,,,,
3.0,A0200,AN/APG-68(V)9,SEARCH,B0100,87.16971410390592,,,,,
3.0,B0100,N001VE,SEARCH,A0100,87.14694578874698,0.0,0.0,0.0,0.0,Enemy
3.0,B0200,N001VE,SEARCH,A0100,87.1244446479258,0.0,0.0,0.0,0.0,Enemy
3.2,A0100,AN/APG-68(V)9,SEARCH,B0100,87.0247100851277,,,,,
3.2,A0200,AN/APG-68(V)9,SEARCH,B0100,87.04976640960648,,,,,
3.2,B0100,N001VE,SEARCH,A0100,87.0247100851277,0.0,0.0,0.0,0.0,Enemy
3.2,B0200,N001VE,SEARCH,A0100,86.99974074568863,0.0,0.0,0.0,0.0,Enemy
3.4000000000000004,A0100,AN/APG-68(V)9,SEARCH,B0100,86.90560507138129,,,,,
3.4000000000000004,A0200,AN/APG-68(V)9,SEARCH,B0100,86.93315375240329,,,,,
3.4000000000000004,B0100,N001VE,SEARCH,A0100,86.90560507138129,0.0,0.0,0.0,0.0,Enemy
3.4000000000000004,B0200,N001VE,SEARCH,A0100,86.87805282251601,0.0,0.0,0.0,0.0,Enemy
3.6,A0100,AN/APG-68(V)9,SEARCH,B0100,86.78950073851448,,,,,
3.6,A0200,AN/APG-68(V)9,SEARCH,B0100,86.81965891084691,,,,,
3.6,B0100,N001VE,SEARCH,A0100,86.78950073851448,0.0,0.0,0.0,0.0,Enemy
3.6,B0200,N001VE,SEARCH,A0100,86.75935975055707,0.0,0.0,0.0,0.0,Enemy
3.8000000000000003,A0100,AN/APG-68(V)9,SEARCH,B0100,86.67637805171438,,,,,
3.8000000000000003,A0200,AN/APG-68(V)9,SEARCH,B0100,86.70939556037679,,,,,
3.8000000000000003,B0100,N001VE,SEARCH,A0100,86.67637805171438,0.0,0.0,0.0,0.0,Enemy
3.8000000000000003,B0200,N001VE,SEARCH,A0100,86.64352995075848,0.0,0.0,0.0,0.0,Enemy
4.0,A0100,AN/APG-68(V)9,SEARCH,B0100,86.56664967892246,,,,,
4.0,A0200,AN/APG-68(V)9,SEARCH,B0100,86.60303470317747,,,,,
4.0,B0100,N001VE,SEARCH,A0100,86.56664967892246,0.0,0.0,0.0,0.0,Enemy
4.0,B0200,N001VE,SEARCH,A0100,86.5307389682722,0.0,0.0,0.0,0.0,Enemy
4.2,A0100,AN/APG-68(V)9,SEARCH,B0100,86.46054765457325,,,,,
4.2,A0200,AN/APG-68(V)9,SEARCH,B0100,86.50080912227318,,,,,
4.2,B0100,N001VE,SEARCH,A0100,86.46054765457325,0.0,0.0,0.0,0.0,Enemy
4.2,B0200,N001VE,SEARCH,A0100,86.42124050966342,0.0,0.0,0.0,0.0,Enemy
4.4,A0100,AN/APG-68(V)9,SEARCH,B0100,86.35799371485992,,,,,
4.4,A0200,AN/APG-68(V)9,SEARCH,B0100,86.40216345890497,,,,,
4.4,B0100,N001VE,SEARCH,A0100,86.35799371485992,0.0,0.0,0.0,0.0,Enemy
4.4,B0200,N001VE,SEARCH,A0100,86.31545483191383,0.0,0.0,0.0,0.0,Enemy
4.6000000000000005,A0100,AN/APG-68(V)9,SEARCH,B0100,86.25893002428214,,,,,
4.6000000000000005,A0200,AN/APG-68(V)9,SEARCH,B0100,86.307062032867,,,,,
4.6000000000000005,B0100,N001VE,SEARCH,A0100,86.25893002428214,0.0,0.0,0.0,0.0,Enemy
4.6000000000000005,B0200,N001VE,SEARCH,A0100,86.2133221611781,0.0,0.0,0.0,0.0,Enemy
4.800000000000001,A0100,AN/APG-68(V)9,SEARCH,B0100,86.16336856357727,,,,,
4.800000000000001,A0200,AN/APG-68(V)9,SEARCH,B0100,86.21574982180915,,,,,
