time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.073,249.946
0.400,0.018,49.964,-0.342,359.885,249.402
0.600,0.042,99.839,-0.589,359.851,248.690
0.800,0.078,149.655,-0.772,359.993,248.046
1.000,0.162,199.393,-0.782,359.905,247.490
1.200,0.307,249.003,-0.539,359.425,247.584
1.400,0.468,298.513,-0.308,359.088,247.269
1.600,0.617,347.942,-0.309,359.252,247.025
1.800,0.767,397.332,-0.566,359.276,246.629
2.000,0.928,446.642,-0.716,359.162,245.865
2.200,1.074,495.864,-0.624,359.270,245.231
2.400,1.200,545.045,-0.434,359.461,244.921
2.600,1.325,594.183,-0.222,359.494,245.377
2.800,1.459,643.284,-0.105,359.076,245.302
3.000,1.582,692.318,-0.178,358.639,244.495
3.200,1.666,741.276,-0.609,358.768,244.541
3.400,1.729,790.241,-1.425,359.055,244.792
3.600,1.796,839.241,-2.242,359.372,243.857
3.800,1.926,888.226,-2.640,359.557,242.601
4.000,2.155,937.102,-2.304,359.359,242.374
4.200,2.386,985.850,-1.311,359.529,243.256
4.400,2.587,1034.567,-0.206,0.205,243.706
4.600,2.800,1083.321,0.482,0.517,243.591
4.800,3.016,1132.143,0.530,0.237,243.399
5.000,3.197,1181.034,-0.161,359.736,243.044
5.200,3.323,1229.899,-1.599,359.978,243.866
5.400,3.442,1278.788,-3.526,0.909,244.833
5.600,3.626,1327.768,-5.570,2.036,243.489
5.800,3.993,1376.756,-7.188,2.978,240.883
6.000,4.663,1425.637,-7.902,3.691,238.518
6.200,5.635,1474.363,-7.592,4.125,237.240
6.400,6.848,1522.960,-6.335,3.696,239.414
6.600,8.181,1571.525,-4.292,3.395,242.010
6.800,9.561,1620.145,-2.064,3.493,243.262
7.000,10.992,1668.828,-0.164,3.437,243.703
7.200,12.458,1717.563,1.218,2.996,243.444
7.400,13.910,1766.382,1.866,2.508,243.570
7.600,15.259,1815.360,1.456,1.712,243.846
7.800,16.516,1864.407,0.222,1.822,245.075
