time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.073,249.946
0.400,0.018,49.964,-0.342,359.885,249.402
0.600,0.042,99.839,-0.589,359.851,248.690
0.800,0.078,149.655,-0.772,359.993,248.046
1.000,0.162,199.393,-0.782,359.899,247.488
1.200,0.306,249.002,-0.534,359.418,247.576
1.400,0.464,298.510,-0.295,359.096,247.260
1.600,0.607,347.936,-0.287,359.290,247.019
1.800,0.751,397.326,-0.539,359.316,246.630
2.000,0.900,446.635,-0.688,359.169,245.869
2.200,1.024,495.857,-0.597,359.243,245.235
2.400,1.123,545.039,-0.409,359.414,244.925
2.600,1.213,594.178,-0.201,359.480,245.384
2.800,1.309,643.281,-0.087,359.115,245.316
3.000,1.391,692.317,-0.164,358.727,244.518
3.200,1.435,741.278,-0.602,358.828,244.565
3.400,1.459,790.246,-1.426,359.020,244.812
3.600,1.479,839.250,-2.252,359.232,243.873
3.800,1.542,888.240,-2.655,359.338,242.618
4.000,1.670,937.143,-2.416,359.375,242.563
4.200,1.828,986.004,-1.853,359.310,243.747
4.400,1.997,1034.873,-1.264,359.133,244.357
4.600,2.160,1083.753,-0.888,358.735,244.016
4.800,2.286,1132.619,-0.913,358.790,243.380
5.000,2.369,1181.525,-1.736,359.013,243.193
5.200,2.395,1230.451,-3.422,359.691,244.444
5.400,2.394,1279.450,-5.756,0.962,245.423
5.600,2.543,1328.506,-8.031,2.399,243.941
5.800,2.981,1377.525,-9.648,3.384,241.436
6.000,3.645,1426.470,-10.376,3.543,239.827
6.200,4.384,1475.295,-10.159,3.422,239.891
6.400,5.133,1524.042,-9.466,3.587,241.742
6.600,5.931,1572.816,-8.760,3.633,243.272
6.800,6.800,1621.632,-8.225,3.290,244.011
7.000,7.713,1670.494,-8.085,2.827,244.265
7.200,8.598,1719.430,-8.731,1.816,244.156
7.400,9.412,1768.367,-10.137,0.714,243.516
7.600,10.174,1817.225,-12.194,0.846,244.058
