time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.073,249.946
0.400,0.018,49.964,-0.342,359.885,249.402
0.600,0.042,99.839,-0.589,359.851,248.690
0.800,0.078,149.655,-0.772,359.993,248.046
1.000,0.162,199.393,-0.782,359.828,247.484
1.200,0.293,248.988,-0.476,359.260,247.401
1.400,0.393,298.427,0.039,359.494,246.813
1.600,0.478,347.767,0.235,0.245,245.944
1.800,0.598,397.044,-0.349,0.500,244.954
2.000,0.725,446.207,-1.868,0.055,243.585
2.200,0.821,495.156,-4.306,359.592,242.277
2.400,0.904,543.922,-7.693,359.656,243.550
2.600,1.007,592.650,-11.878,359.686,244.221
2.800,1.102,641.313,-16.642,359.845,244.130
3.000,1.196,689.925,-22.127,359.763,243.614
3.200,1.264,738.438,-28.389,359.390,242.819
3.400,1.277,786.778,-35.611,358.887,241.746
3.600,1.227,834.868,-43.882,358.838,240.912
3.800,1.133,882.654,-53.459,358.646,240.141
4.000,0.983,930.098,-64.233,358.362,239.751
4.200,0.804,977.240,-76.082,358.529,242.010
4.400,0.617,1024.346,-88.740,358.785,244.482
4.600,0.427,1071.599,-101.619,359.074,244.492
4.800,0.268,1118.988,-114.281,359.276,244.460
5.000,0.151,1166.490,-126.817,359.126,245.733
5.200,0.056,1214.077,-139.484,358.823,246.448
5.400,-0.059,1261.673,-152.569,358.435,246.475
5.600,-0.237,1309.186,-166.318,357.981,246.175
5.800,-0.530,1356.503,-180.948,357.481,245.718
6.000,-0.988,1403.509,-196.632,357.020,245.358
6.200,-1.624,1450.132,-213.414,356.271,244.893
6.400,-2.421,1496.367,-231.207,355.687,244.856
6.600,-3.345,1542.217,-250.187,355.988,245.897
6.800,-4.354,1587.725,-270.393,356.179,247.992
7.000,-5.440,1633.111,-291.359,356.261,249.887
7.200,-6.579,1678.600,-312.664,356.864,251.831
7.400,-7.734,1724.394,-334.013,357.253,252.029
7.600,-8.898,1770.605,-354.990,357.393,253.154
