time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.073,249.946
0.400,0.018,49.964,-0.342,359.885,249.402
0.600,0.042,99.839,-0.589,359.851,248.690
0.800,0.078,149.655,-0.772,359.993,248.046
1.000,0.162,199.393,-0.782,359.828,247.484
1.200,0.293,248.988,-0.476,359.260,247.401
1.400,0.397,298.427,0.039,359.390,246.807
1.600,0.484,347.810,0.250,359.917,246.506
1.800,0.587,397.170,-0.152,0.014,246.213
2.000,0.695,446.436,-0.938,359.849,246.131
2.200,0.803,495.613,-1.627,359.608,245.109
2.400,0.872,544.710,-1.984,359.489,243.722
2.600,0.897,593.750,-2.095,359.586,243.410
2.800,0.904,642.741,-2.062,359.693,244.352
3.000,0.917,691.707,-2.019,359.497,244.749
3.200,0.936,740.646,-2.152,359.133,244.410
3.400,0.946,789.547,-2.588,359.017,244.367
3.600,0.947,838.449,-3.292,359.065,244.560
3.800,0.947,887.363,-4.063,359.010,244.385
4.000,0.934,936.273,-4.681,359.164,244.164
4.200,0.916,985.207,-5.187,359.354,243.929
4.400,0.917,1034.148,-5.459,359.379,243.788
4.600,0.952,1083.072,-5.480,359.224,244.135
4.800,1.007,1131.988,-5.445,358.900,244.544
5.000,1.053,1180.912,-5.633,358.628,244.375
5.200,1.080,1229.815,-6.125,358.504,244.245
5.400,1.082,1278.684,-6.739,358.462,244.216
5.600,1.039,1327.547,-7.284,358.572,243.663
5.800,0.958,1376.441,-7.658,358.728,242.441
6.000,0.862,1425.319,-7.608,359.008,241.340
6.200,0.807,1474.112,-7.042,359.063,242.382
6.400,0.809,1522.849,-6.125,358.899,243.384
6.600,0.832,1571.573,-5.213,358.711,243.574
6.800,0.835,1620.348,-4.642,358.569,243.594
7.000,0.783,1669.232,-4.742,358.713,243.520
7.200,0.636,1718.218,-5.878,358.509,243.505
7.400,0.398,1767.174,-7.814,358.797,244.297
7.600,0.164,1816.108,-10.066,359.721,244.931
