kind,name,n_total_g_max,speed_violation_count,alt_violation_count,csv_path,acmi_path
basic,level_flight,2.635939472414948,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_level_flight.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_level_flight.acmi
basic,turn_level,4.526323700441574,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_turn_level.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_turn_level.acmi
basic,pull_up,4.589488798083692,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_pull_up.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_pull_up.acmi
basic,dive,4.427368163602062,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_dive.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_dive.acmi
basic,accelerate,3.850030097757875,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_accelerate.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_accelerate.acmi
basic,decelerate,5.159577357534313,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_decelerate.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_decelerate.acmi
basic,diagonal_flight,4.621757563109099,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_diagonal_flight.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\basic_diagonal_flight.acmi
composite,turn_pull_up,4.535346805616489,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\composite_turn_pull_up.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\composite_turn_pull_up.acmi
composite,turn_dive,4.6539443186788985,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\composite_turn_dive.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\composite_turn_dive.acmi
composite,short_skate_tactical,4.716077360202184,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\composite_short_skate_tactical.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_102531\composite_short_skate_tactical.acmi
