time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.160,249.640
0.400,0.016,49.888,-0.273,0.576,248.301
0.600,0.105,99.677,-0.229,1.396,245.044
0.800,0.377,149.297,0.505,2.451,241.701
1.000,0.962,198.660,2.131,3.705,238.867
1.200,1.988,247.699,4.726,5.182,236.411
1.400,3.570,296.363,8.291,6.893,234.153
1.600,5.808,344.605,12.791,8.813,231.964
1.800,8.790,392.378,18.170,10.921,229.791
2.000,12.595,439.642,24.361,13.204,227.589
2.200,17.323,486.337,31.323,15.347,225.437
2.400,23.111,532.318,39.188,16.611,224.048
2.600,29.872,577.494,48.065,15.623,225.587
2.800,37.244,622.011,57.873,13.826,227.474
3.000,44.805,666.119,68.278,12.750,228.472
3.200,52.389,710.098,78.726,12.636,228.761
3.400,60.053,754.139,88.729,13.059,228.658
3.600,67.887,798.316,97.972,13.645,228.119
3.800,75.898,842.590,106.382,13.959,227.116
4.000,84.067,886.888,113.908,14.213,225.834
4.200,92.452,931.181,120.342,14.683,224.570
4.400,101.124,975.425,125.557,15.367,223.349
4.600,110.161,1019.577,129.455,16.319,222.473
4.800,119.653,1063.616,131.902,17.308,221.732
5.000,129.557,1107.499,132.929,18.094,220.997
5.200,139.815,1151.198,132.544,18.666,220.367
5.400,150.376,1194.694,130.725,19.072,219.875
5.600,161.207,1237.967,127.401,19.446,219.765
5.800,172.279,1281.009,122.391,19.727,219.948
6.000,183.485,1323.814,115.695,19.690,220.238
6.200,194.681,1366.396,107.371,19.219,220.661
6.400,205.743,1408.770,97.530,17.860,221.126
6.600,216.622,1450.912,86.411,15.998,221.078
6.800,227.359,1492.739,74.216,14.803,220.205
7.000,238.043,1534.200,61.117,15.261,219.373
7.200,248.860,1575.224,46.970,16.633,219.596
7.400,259.950,1615.805,31.641,16.177,222.736
7.600,271.187,1656.271,15.447,14.391,225.568
7.800,282.374,1696.958,-0.990,12.687,226.462
8.000,293.488,1738.015,-17.325,11.534,225.424
8.200,304.464,1779.543,-33.038,10.741,224.479
8.400,315.197,1821.579,-47.830,9.871,223.719
8.600,325.483,1864.134,-61.492,8.825,222.833
8.800,335.258,1907.158,-74.177,7.842,221.971
9.000,344.613,1950.588,-86.035,6.967,221.182
9.200,353.618,1994.366,-97.007,6.477,220.499
9.400,362.363,2038.434,-106.962,6.413,220.096
9.600,370.940,2082.744,-115.756,6.515,219.843
9.800,379.341,2127.240,-123.136,6.552,219.807
10.000,387.405,2171.879,-128.976,6.598,219.743
10.200,395.076,2216.648,-133.563,6.446,219.376
10.400,402.444,2261.528,-137.163,6.099,218.756
10.600,409.588,2306.465,-139.751,5.840,218.211
10.800,416.512,2351.368,-141.053,5.629,217.879
11.000,423.109,2396.167,-140.909,5.529,217.503
11.200,429.360,2440.875,-139.571,5.405,216.861
11.400,435.342,2485.499,-137.245,5.190,216.061
11.600,441.102,2529.970,-133.855,4.924,215.365
11.800,446.614,2574.170,-129.163,4.554,214.863
12.000,451.748,2618.024,-123.071,4.240,214.256
12.200,456.499,2661.589,-115.857,3.931,213.550
12.400,460.951,2704.900,-107.716,3.412,213.073
12.600,465.057,2747.849,-98.474,2.718,212.652
12.800,468.692,2790.349,-88.036,2.129,212.058
13.000,471.895,2832.478,-76.663,1.900,211.589
13.200,474.861,2874.360,-64.711,2.378,213.164
13.400,477.762,2916.123,-52.414,2.540,215.450
13.600,480.664,2957.771,-39.788,2.311,217.085
13.800,483.573,2999.282,-26.849,2.074,217.599
14.000,486.446,3040.711,-13.789,2.264,217.366
14.200,489.291,3082.254,-1.074,2.904,216.972
14.400,492.161,3123.998,10.904,3.301,215.744
14.600,495.033,3165.807,22.041,3.226,214.083
14.800,497.876,3207.675,32.168,3.112,212.557
15.000,500.672,3249.591,41.169,3.055,211.063
15.200,503.417,3291.529,48.992,3.017,209.729
15.400,506.120,3333.474,55.605,3.043,208.546
15.600,508.794,3375.409,61.005,3.139,207.480
15.800,511.454,3417.309,65.201,3.298,206.512
16.000,514.118,3459.151,68.200,3.511,205.631
16.200,516.800,3500.912,70.015,3.772,204.831
16.400,519.514,3542.570,70.656,4.074,204.107
16.600,522.276,3584.101,70.134,4.415,203.458
16.800,525.097,3625.486,68.459,4.793,202.879
17.000,527.992,3666.702,65.642,5.206,202.369
17.200,530.980,3707.734,61.643,5.731,202.229
17.400,534.089,3748.575,56.315,6.246,202.267
17.600,537.289,3789.198,49.629,6.627,202.574
17.800,540.511,3829.582,41.389,6.750,203.224
18.000,543.632,3869.737,31.595,6.205,204.402
18.200,546.626,3909.733,20.640,5.941,206.570
18.400,549.612,3949.676,9.094,6.277,208.245
18.600,552.670,3989.652,-2.644,6.591,208.897
18.800,555.791,4029.750,-14.336,6.630,208.282
19.000,558.959,4070.069,-25.914,6.479,207.285
19.200,562.178,4110.691,-37.135,6.329,205.867
19.400,565.487,4151.612,-47.671,6.239,204.800
19.600,568.921,4192.805,-57.141,6.085,204.235
19.800,572.416,4234.219,-65.338,6.032,203.945
20.000,575.919,4275.823,-72.478,6.083,203.616
20.200,579.467,4317.587,-78.722,6.027,203.271
