time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.073,249.946
0.400,0.018,49.964,-0.342,359.885,249.402
0.600,0.042,99.839,-0.589,359.851,248.690
0.800,0.078,149.655,-0.772,359.993,248.046
1.000,0.162,199.393,-0.782,359.902,247.489
1.200,0.306,249.002,-0.536,359.421,247.580
1.400,0.466,298.511,-0.302,359.092,247.265
1.600,0.612,347.939,-0.298,359.287,247.024
1.800,0.758,397.329,-0.554,359.325,246.633
2.000,0.914,446.639,-0.705,359.191,245.871
2.200,1.050,495.862,-0.616,359.277,245.237
2.400,1.163,545.044,-0.430,359.456,244.928
2.600,1.272,594.184,-0.223,359.504,245.387
2.800,1.388,643.287,-0.112,359.111,245.318
3.000,1.492,692.324,-0.192,358.697,244.517
3.200,1.558,741.285,-0.631,358.810,244.563
3.400,1.604,790.253,-1.456,359.047,244.812
3.600,1.649,839.257,-2.282,359.310,243.874
3.800,1.748,888.246,-2.688,359.453,242.618
4.000,1.923,937.149,-2.451,359.495,242.563
4.200,2.138,986.010,-1.890,359.396,243.745
4.400,2.373,1034.868,-1.260,358.994,244.182
4.600,2.581,1083.713,-0.714,359.062,243.968
4.800,2.765,1132.634,-0.739,359.559,244.043
5.000,2.936,1181.667,-1.655,359.712,243.948
5.200,3.061,1230.731,-3.444,0.305,245.223
5.400,3.161,1279.878,-5.887,1.595,246.144
5.600,3.427,1329.088,-8.276,3.047,244.592
5.800,4.003,1378.260,-10.007,4.013,242.081
6.000,4.815,1427.351,-10.923,4.528,239.754
6.200,5.804,1476.325,-11.025,4.664,238.181
6.400,6.966,1525.111,-10.272,4.067,239.733
6.600,8.237,1573.741,-8.787,3.574,241.716
6.800,9.556,1622.344,-7.130,3.517,242.959
7.000,10.925,1671.001,-5.764,3.413,243.480
7.200,12.332,1719.707,-4.887,3.049,243.303
7.400,13.738,1768.494,-4.726,2.782,243.581
7.600,15.110,1817.376,-5.436,2.994,244.332
