time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.262,250.600
0.400,0.003,50.219,-0.589,0.751,251.496
0.600,0.007,100.640,-1.647,1.293,252.350
0.800,0.027,151.257,-3.082,1.869,253.222
1.000,0.088,202.068,-4.856,2.408,254.174
1.200,0.183,253.072,-6.967,2.788,255.236
1.400,0.260,304.277,-9.397,2.878,256.417
1.600,0.287,355.693,-12.061,2.595,257.693
1.800,0.337,407.322,-14.882,1.957,258.938
2.000,0.540,459.160,-17.869,1.116,260.153
2.200,0.986,511.207,-21.127,0.306,261.336
2.400,1.637,563.460,-24.791,359.759,262.430
2.600,2.372,615.910,-28.906,359.648,263.475
2.800,3.107,668.557,-33.440,359.940,264.536
3.000,3.821,721.401,-38.355,0.473,265.657
3.200,4.498,774.449,-43.647,1.065,266.861
3.400,5.104,827.704,-49.304,1.554,268.126
3.600,5.616,881.178,-55.267,1.828,269.458
3.800,6.055,934.883,-61.439,1.716,270.830
4.000,6.522,988.830,-67.757,1.265,272.209
4.200,7.145,1043.018,-74.265,0.670,273.579
4.400,7.960,1097.438,-81.095,0.165,274.894
4.600,8.888,1152.072,-88.344,359.980,276.148
4.800,9.839,1206.910,-96.020,0.135,277.389
5.000,10.773,1261.951,-104.089,0.480,278.649
5.200,11.690,1317.196,-112.534,0.849,279.937
5.400,12.572,1372.644,-121.369,1.058,281.280
5.600,13.369,1428.299,-130.590,1.116,282.633
5.800,14.047,1484.169,-140.126,1.143,283.986
6.000,14.638,1540.270,-149.880,1.040,285.342
6.200,15.254,1596.606,-159.815,0.755,286.705
6.400,15.963,1653.159,-170.018,0.622,287.922
6.600,16.689,1709.868,-180.651,0.344,289.114
6.800,17.445,1766.754,-191.689,0.118,290.311
7.000,18.158,1823.807,-203.132,359.962,291.456
7.200,18.767,1881.025,-214.946,359.918,292.589
7.400,19.245,1938.415,-227.071,0.040,293.717
7.600,19.591,1995.979,-239.415,359.808,294.541
7.800,19.768,2053.744,-251.661,359.060,294.506
8.000,19.820,2111.757,-263.325,359.110,294.502
8.200,19.883,2170.006,-274.182,359.387,294.633
8.400,20.004,2228.452,-284.001,359.549,294.684
8.600,20.019,2287.061,-292.696,359.635,294.713
8.800,19.829,2345.822,-300.480,359.554,294.795
9.000,19.486,2404.733,-307.505,359.482,294.955
9.200,19.059,2463.777,-313.745,359.553,295.165
9.400,18.637,2522.934,-319.140,359.594,295.291
9.600,18.212,2582.169,-323.576,359.751,295.353
9.800,17.773,2641.486,-327.201,359.906,295.451
10.000,17.383,2700.866,-330.000,359.948,295.476
10.200,17.029,2760.267,-331.850,0.098,295.455
10.400,16.689,2819.699,-332.893,0.245,295.471
10.600,16.422,2879.142,-333.111,0.277,295.417
10.800,16.209,2938.530,-332.309,0.138,295.189
11.000,15.832,2997.824,-330.455,359.860,294.871
11.200,15.166,3057.060,-327.794,359.392,294.634
11.400,14.257,3116.256,-324.431,358.961,294.502
11.600,13.152,3175.376,-320.281,358.743,294.442
11.800,11.924,3234.398,-315.295,358.515,294.289
12.000,10.538,3293.263,-309.379,358.396,294.004
12.200,8.985,3351.999,-302.687,358.265,293.747
12.400,7.311,3410.591,-295.199,358.024,293.479
12.600,5.466,3468.962,-286.758,357.659,293.532
12.800,3.257,3527.051,-277.516,357.958,293.486
13.000,0.724,3584.931,-268.138,0.098,292.776
13.200,-1.805,3642.726,-259.128,0.944,291.834
13.400,-4.482,3700.428,-250.563,355.561,291.526
13.600,-8.066,3758.055,-242.750,350.389,289.291
13.800,-12.794,3815.632,-236.284,348.745,288.067
