time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.074,250.495
0.400,0.020,50.155,-0.252,0.023,250.345
0.600,0.048,100.376,-0.072,359.938,249.171
0.800,0.027,150.604,0.810,359.940,247.567
1.000,-0.059,200.823,2.413,359.900,245.922
1.200,-0.190,250.965,4.937,359.688,244.937
1.400,-0.403,300.910,8.665,359.264,244.715
1.600,-0.866,350.579,13.695,358.912,244.456
1.800,-1.642,400.028,19.740,358.553,244.029
2.000,-2.650,449.330,26.541,358.149,243.638
2.200,-3.816,498.466,34.109,357.683,243.349
2.400,-5.151,547.316,42.678,357.089,243.050
2.600,-6.803,595.765,52.415,356.266,242.685
2.800,-8.983,643.830,63.149,355.298,242.206
3.000,-11.708,691.643,74.519,354.514,242.039
3.200,-14.826,739.347,86.241,354.402,242.805
3.400,-18.248,786.996,98.221,354.452,243.694
3.600,-21.924,834.595,110.451,354.603,244.519
3.800,-25.783,882.163,122.900,354.775,245.216
4.000,-29.766,929.701,135.579,354.668,245.746
4.200,-33.899,977.108,148.648,354.156,245.709
4.400,-38.309,1024.269,162.265,353.411,244.996
4.600,-43.013,1071.247,176.311,352.959,244.436
4.800,-47.908,1118.154,190.598,353.095,244.806
5.000,-52.941,1165.005,205.111,353.021,245.262
5.200,-58.145,1211.698,219.997,352.699,245.475
5.400,-63.615,1258.165,235.300,352.767,245.522
5.600,-69.299,1304.544,250.770,353.092,245.691
5.800,-75.074,1350.986,266.186,353.227,246.000
6.000,-80.911,1397.512,281.531,353.270,246.291
6.200,-86.797,1444.079,296.880,353.027,246.483
6.400,-92.769,1490.548,312.438,352.419,246.212
6.600,-98.952,1536.755,328.433,351.348,245.491
6.800,-105.474,1582.730,344.763,351.094,245.329
7.000,-112.271,1628.641,361.169,351.241,245.494
7.200,-119.187,1674.639,377.464,351.276,245.826
7.400,-126.208,1720.734,393.643,351.213,246.139
7.600,-133.353,1766.895,409.751,351.156,246.446
7.800,-140.614,1813.108,425.816,351.141,246.742
8.000,-147.967,1859.365,441.857,351.172,247.024
8.200,-155.385,1905.639,457.925,350.954,247.202
8.400,-162.900,1951.796,474.207,350.361,246.911
8.600,-170.634,1997.662,490.923,349.096,246.028
8.800,-178.745,2043.233,508.035,347.976,245.270
9.000,-187.210,2088.648,525.318,347.985,245.355
9.200,-195.885,2134.072,542.591,348.121,245.727
9.400,-204.731,2179.530,559.825,348.186,246.083
9.600,-213.747,2225.000,577.047,348.238,246.405
9.800,-222.905,2270.477,594.269,348.306,246.691
10.000,-232.172,2315.964,611.499,348.400,246.943
10.200,-241.513,2361.440,628.774,348.234,247.079
10.400,-250.944,2406.783,646.251,347.839,246.956
10.600,-260.550,2451.874,664.046,347.469,246.658
10.800,-270.412,2496.768,682.007,347.462,246.476
11.000,-280.460,2541.637,699.901,347.623,246.510
11.200,-290.565,2586.631,717.582,347.626,246.706
11.400,-300.731,2631.746,735.065,347.526,246.872
11.600,-310.986,2676.944,752.404,347.439,247.039
11.800,-321.329,2722.203,769.637,347.403,247.210
12.000,-331.744,2767.514,786.790,347.421,247.380
12.200,-342.207,2812.847,803.918,347.202,247.457
12.400,-352.729,2858.069,821.206,346.641,247.101
12.600,-363.399,2903.004,838.870,345.645,246.302
12.800,-374.339,2947.662,856.841,345.404,246.019
13.000,-385.525,2992.204,874.884,345.600,246.057
13.200,-396.833,3036.796,892.819,345.698,246.265
13.400,-408.238,3081.462,910.625,345.682,246.460
13.600,-419.753,3126.171,928.344,345.654,246.649
13.800,-431.366,3170.911,945.999,345.658,246.830
14.000,-443.056,3215.653,963.639,345.423,246.921
14.200,-454.853,3260.276,981.418,344.970,246.780
14.400,-466.832,3304.686,999.407,344.911,246.560
14.600,-478.965,3349.010,1017.423,345.151,246.520
14.800,-491.169,3393.402,1035.293,345.246,246.648
15.000,-503.424,3437.883,1053.003,345.243,246.763
15.200,-515.730,3482.405,1070.632,344.967,246.800
15.400,-528.112,3526.836,1088.352,344.469,246.619
15.600,-540.648,3571.048,1106.289,344.013,246.281
15.800,-553.414,3615.079,1124.320,343.921,246.069
16.000,-566.348,3659.093,1142.240,344.012,246.067
16.200,-579.325,3703.240,1159.912,344.273,246.277
16.400,-592.314,3747.551,1177.308,344.919,246.564
16.600,-605.324,3792.011,1194.433,345.291,246.784
16.800,-618.358,3836.609,1211.297,345.169,246.969
17.000,-631.428,3881.328,1227.934,344.986,247.136
17.200,-644.538,3926.151,1244.386,344.858,247.293
17.400,-657.677,3971.038,1260.723,344.524,247.369
17.600,-670.857,4015.866,1277.130,343.957,247.192
17.800,-684.146,4060.500,1293.763,343.362,246.842
18.000,-697.637,4104.954,1310.531,343.062,246.611
18.200,-711.299,4149.371,1327.232,343.202,246.627
18.400,-725.017,4193.907,1343.706,343.616,246.906
18.600,-738.768,4238.589,1359.927,343.840,247.164
18.800,-752.569,4283.390,1375.922,343.966,247.421
19.000,-766.419,4328.301,1391.705,344.048,247.681
19.200,-780.318,4373.302,1407.311,344.003,247.864
19.400,-794.269,4418.336,1422.830,343.665,247.932
19.600,-808.294,4463.331,1438.357,343.375,247.877
19.800,-822.382,4508.357,1453.786,343.274,247.879
20.000,-836.512,4553.486,1469.019,343.611,248.294
20.200,-850.663,4598.796,1483.932,343.856,248.751
20.400,-864.831,4644.237,1498.538,343.931,248.876
20.600,-879.015,4689.806,1512.762,344.005,248.410
20.800,-893.218,4735.556,1526.390,344.155,247.665
21.000,-907.419,4781.529,1539.190,344.454,246.821
21.200,-921.573,4827.734,1550.988,344.883,246.017
21.400,-935.630,4874.169,1561.680,345.405,245.289
21.600,-949.539,4920.822,1571.209,345.991,244.629
21.800,-963.247,4967.634,1579.537,346.617,243.546
22.000,-976.699,5014.521,1586.647,347.276,242.423
22.200,-989.859,5061.460,1592.529,347.974,241.342
22.400,-1002.694,5108.433,1597.182,348.715,240.294
22.600,-1015.179,5155.422,1600.615,349.500,239.284
22.800,-1027.277,5202.424,1602.810,350.441,238.546
23.000,-1038.936,5249.460,1603.673,351.377,237.925
23.200,-1050.178,5296.491,1603.213,352.098,237.310
23.400,-1061.040,5343.480,1601.414,352.626,236.787
23.600,-1071.544,5390.396,1598.246,353.014,236.379
23.800,-1081.708,5437.210,1593.683,353.324,236.072
24.000,-1091.539,5483.889,1587.707,353.618,235.846
24.200,-1101.041,5530.400,1580.313,353.919,235.684
24.400,-1110.214,5576.710,1571.502,354.231,235.579
24.600,-1119.057,5622.812,1561.232,354.627,236.016
24.800,-1127.565,5668.702,1549.395,354.948,236.940
25.000,-1135.801,5714.350,1536.080,354.787,238.889
