Time_s,x3_B0100_m,y3_B0100_m,z3_B0100_m,x4_B0200_m,y4_B0200_m,z4_B0200_m,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,44538.062,-0.007,5940.763,44538.146,545.013,5940.775,89.073,89.075,89.075,89.073,5940.775,5940.790,5940.763,5940.775,365.339,365.676,365.339,364.851,0.011,0.362,-0.730,-0.379,0.011,0.253,0.348,0.106,1,1,formation_maintain,attack_maneuver
0.200,44465.055,-0.031,5941.213,44465.261,544.994,5940.688,88.927,88.929,88.929,88.927,5941.226,5941.388,5941.213,5940.688,364.728,365.443,364.728,364.077,0.215,0.566,-1.875,-1.524,0.215,0.515,0.145,0.875,1,1,attack_maneuver,attack_maneuver
0.400,44392.160,-0.058,5941.703,44392.502,544.858,5939.117,88.782,88.784,88.783,88.782,5941.716,5942.836,5941.703,5939.117,364.276,364.779,364.276,363.731,0.145,0.497,-4.569,-4.218,0.145,0.627,0.216,0.988,1,1,attack_maneuver,attack_maneuver
0.600,44319.366,-0.084,5942.123,44319.846,544.986,5935.928,88.636,88.638,88.638,88.636,5942.136,5945.334,5942.123,5935.928,363.658,363.686,363.658,363.582,0.333,0.685,-7.116,-6.764,0.333,0.382,0.030,0.019,1,1,attack_maneuver,attack_maneuver
0.800,44246.685,-0.093,5942.562,44247.295,545.717,5931.437,88.491,88.493,88.493,88.491,5942.575,5948.413,5942.562,5931.437,363.213,362.346,363.213,363.256,0.244,0.598,-9.873,-9.520,0.244,2.373,0.122,2.006,1,1,attack_maneuver,attack_maneuver
1.000,44174.102,-0.087,5942.920,44174.953,547.077,5925.883,88.346,88.348,88.348,88.347,5942.933,5951.672,5942.920,5925.883,362.608,360.855,362.609,362.389,0.426,0.781,-12.509,-12.154,0.426,3.600,0.054,3.228,1,1,attack_maneuver,attack_maneuver
1.200,44101.628,-0.050,5943.293,44102.896,548.988,5919.174,88.201,88.204,88.204,88.204,5943.306,5954.775,5943.293,5919.174,362.184,359.382,362.184,361.558,0.325,0.681,-15.014,-14.657,0.325,3.389,0.054,3.011,1,1,attack_maneuver,attack_maneuver
1.400,44029.248,0.013,5943.583,44031.082,551.101,5911.695,88.056,88.059,88.061,88.061,5943.597,5957.413,5943.583,5911.695,361.605,357.673,361.606,360.821,0.504,0.863,-17.419,-17.060,0.504,3.013,0.117,2.625,1,1,attack_maneuver,attack_maneuver
1.600,43956.972,0.117,5943.887,43959.440,553.232,5903.847,87.911,87.915,87.920,87.920,5943.900,5959.563,5943.887,5903.847,361.214,355.844,361.215,360.214,0.395,0.755,-19.616,-19.255,0.395,2.827,0.003,2.429,1,1,attack_maneuver,attack_maneuver
1.800,43884.781,0.255,5944.105,43887.922,555.374,5895.735,87.767,87.772,87.779,87.780,5944.118,5961.503,5944.105,5895.735,360.676,354.055,360.676,359.974,0.575,0.937,-21.759,-21.397,0.575,2.366,0.165,1.956,1,1,attack_maneuver,attack_maneuver
2.000,43812.686,0.443,5944.334,43816.474,557.520,5887.205,87.623,87.628,87.639,87.641,5944.347,5963.523,5944.334,5887.205,360.334,352.564,360.334,359.813,0.459,0.824,-23.943,-23.579,0.459,2.494,0.035,2.070,1,1,attack_maneuver,attack_maneuver
2.200,43740.666,0.670,5944.476,43745.107,559.641,5878.551,87.479,87.485,87.501,87.503,5944.490,5965.578,5944.476,5878.551,359.854,351.208,359.855,359.407,0.641,1.008,-26.124,-25.758,0.641,2.413,0.202,1.973,1,1,attack_maneuver,attack_maneuver
2.400,43668.728,0.955,5944.627,43673.817,561.752,5869.750,87.335,87.342,87.364,87.366,5944.640,5967.451,5944.627,5869.750,359.581,349.907,359.581,359.326,0.522,0.890,-28.317,-27.949,0.522,1.995,0.065,1.537,1,1,attack_maneuver,attack_maneuver
2.600,43596.851,1.284,5944.688,43602.572,563.886,5860.347,87.191,87.199,87.228,87.231,5944.702,5968.914,5944.688,5860.347,359.179,348.435,359.180,359.664,0.708,1.077,-30.516,-30.147,0.708,2.251,0.232,1.775,1,1,attack_maneuver,attack_maneuver
2.800,43525.041,1.676,5944.754,43531.417,566.236,5849.974,87.047,87.056,87.093,87.097,5944.768,5970.017,5944.754,5849.974,358.994,346.941,358.995,359.733,0.585,0.957,-32.674,-32.303,0.585,2.637,0.089,2.141,1,1,attack_maneuver,attack_maneuver
3.000,43453.254,2.105,5944.656,43460.352,568.599,5839.141,86.904,86.913,86.960,86.964,5944.671,5971.030,5944.656,5839.141,358.914,345.762,358.915,359.547,0.613,0.987,-34.856,-34.483,0.613,2.528,0.095,2.010,1,1,attack_maneuver,attack_maneuver
3.200,43381.490,2.554,5944.559,43389.347,570.838,5828.083,86.760,86.770,86.829,86.833,5944.573,5971.941,5944.559,5828.083,358.711,344.726,358.712,359.417,0.783,1.158,-36.998,-36.623,0.783,2.484,0.241,1.942,1,1,attack_maneuver,attack_maneuver
3.400,43309.755,3.032,5944.627,43318.387,573.003,5816.859,86.617,86.627,86.699,86.704,5944.642,5972.551,5944.627,5816.859,358.698,343.756,358.699,359.327,0.682,1.059,-39.130,-38.753,0.682,2.402,0.115,1.835,1,1,attack_maneuver,attack_maneuver
3.600,43238.034,3.533,5944.701,43247.458,575.145,5805.430,86.473,86.485,86.570,86.576,5944.716,5972.643,5944.701,5805.430,358.509,342.597,358.510,359.543,0.860,1.239,-41.273,-40.895,0.860,2.000,0.267,1.407,1,1,attack_maneuver,attack_maneuver
3.800,43166.341,4.074,5944.824,43176.513,577.296,5793.446,86.330,86.342,86.443,86.449,5944.839,5972.261,5944.824,5793.446,358.488,341.395,358.488,360.343,0.751,1.131,-43.403,-43.023,0.750,1.782,0.129,1.161,1,1,attack_maneuver,attack_maneuver
4.000,43094.663,4.645,5944.874,43105.537,579.533,5780.837,86.187,86.200,86.318,86.325,5944.889,5971.675,5944.874,5780.837,358.292,340.464,358.293,360.753,0.928,1.311,-45.568,-45.187,0.928,3.300,0.278,2.650,1,1,attack_maneuver,attack_maneuver
4.200,43023.014,5.263,5944.938,43034.660,581.934,5767.652,86.043,86.057,86.195,86.202,5944.953,5970.885,5944.938,5767.652,358.266,339.625,358.267,360.579,0.815,1.198,-47.686,-47.303,0.814,3.423,0.134,2.742,1,1,attack_maneuver,attack_maneuver
