Time_s,x3_B0100_m,y3_B0100_m,z3_B0100_m,x4_B0200_m,y4_B0200_m,z4_B0200_m,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,44538.101,0.012,5941.010,44538.104,544.997,5940.739,89.073,89.075,89.075,89.073,5940.775,5940.722,5941.010,5940.739,365.339,364.819,364.767,365.339,0.011,0.362,-0.680,-0.329,0.530,0.362,0.171,0.002,1,1,attack_maneuver,formation_maintain
0.200,44465.339,0.467,5943.263,44465.096,544.984,5941.190,88.928,88.929,88.930,88.928,5941.226,5940.747,5943.263,5941.190,364.728,364.466,363.214,364.728,0.215,0.566,-0.060,0.291,2.670,0.566,2.310,0.206,1,1,attack_maneuver,formation_maintain
0.400,44393.055,2.387,5947.558,44392.202,544.968,5941.680,88.783,88.783,88.784,88.782,5941.716,5939.970,5947.558,5941.680,364.276,364.058,361.188,364.276,0.147,0.497,-0.850,-0.500,4.659,0.497,4.299,0.137,1,1,attack_maneuver,attack_maneuver
0.600,44321.341,6.511,5953.100,44319.407,544.953,5942.099,88.638,88.638,88.640,88.636,5942.136,5939.189,5953.100,5942.099,363.658,363.491,359.306,363.658,0.337,0.685,-6.496,-6.148,8.402,0.685,8.041,0.324,1,1,attack_maneuver,attack_maneuver
0.800,44250.187,13.195,5958.920,44246.726,544.955,5942.538,88.494,88.492,88.496,88.491,5942.575,5939.152,5958.920,5942.538,363.213,362.056,357.863,363.213,0.253,0.597,-6.507,-6.162,12.178,0.597,11.815,0.234,1,1,attack_maneuver,attack_maneuver
1.000,44179.557,22.337,5964.507,44174.143,544.972,5942.897,88.351,88.347,88.353,88.346,5942.933,5940.256,5964.507,5942.897,362.608,360.330,356.502,362.609,0.440,0.779,-8.542,-8.203,15.089,0.779,14.722,0.413,1,1,attack_maneuver,attack_maneuver
1.200,44109.603,34.043,5969.949,44101.670,545.020,5943.270,88.209,88.202,88.212,88.202,5943.306,5943.123,5969.949,5943.270,362.184,358.814,354.852,362.184,0.347,0.679,-9.369,-9.037,17.276,0.679,16.905,0.308,1,1,attack_maneuver,attack_maneuver
1.400,44040.522,48.412,5975.489,44029.289,545.094,5943.560,88.067,88.058,88.072,88.059,5943.597,5947.801,5975.489,5943.560,361.605,357.621,352.901,361.606,0.536,0.859,-9.177,-8.854,19.350,0.859,18.974,0.483,1,1,attack_maneuver,attack_maneuver
1.600,43972.522,65.652,5980.932,43957.013,545.209,5943.863,87.927,87.913,87.933,87.916,5943.900,5953.207,5980.932,5943.863,361.214,357.058,350.838,361.215,0.437,0.750,-8.945,-8.632,21.771,0.750,21.389,0.368,1,1,attack_maneuver,attack_maneuver
1.800,43905.540,85.515,5985.461,43884.822,545.358,5944.081,87.788,87.769,87.795,87.773,5944.118,5957.856,5985.461,5944.081,360.676,356.547,349.430,360.676,0.630,0.931,-8.680,-8.380,24.528,0.931,24.141,0.543,1,1,attack_maneuver,attack_maneuver
2.000,43839.413,107.523,5988.714,43812.727,545.557,5944.310,87.649,87.624,87.658,87.630,5944.347,5961.295,5988.714,5944.310,360.334,355.756,348.282,360.334,0.529,0.816,-8.300,-8.013,26.840,0.816,26.447,0.423,1,1,attack_maneuver,attack_maneuver
2.200,43774.225,131.642,5990.802,43740.707,545.795,5944.452,87.512,87.480,87.522,87.487,5944.490,5963.393,5990.802,5944.452,359.854,355.243,347.167,359.855,0.727,0.999,-8.291,-8.019,28.797,0.998,28.399,0.600,1,1,attack_maneuver,attack_maneuver
2.400,43710.109,157.912,5992.155,43668.770,546.091,5944.603,87.376,87.337,87.387,87.345,5944.640,5964.546,5992.155,5944.603,359.581,354.716,345.888,359.581,0.625,0.880,-7.891,-7.637,30.524,0.880,30.119,0.475,1,1,attack_maneuver,attack_maneuver
2.600,43647.125,186.279,5993.393,43596.893,546.430,5944.664,87.241,87.193,87.254,87.202,5944.702,5965.185,5993.393,5944.664,359.179,354.492,345.184,359.180,0.829,1.066,-7.785,-7.549,30.592,1.066,30.182,0.655,1,1,attack_maneuver,attack_maneuver
