Time_s,x3_B0100_m,y3_B0100_m,z3_B0100_m,x4_B0200_m,y4_B0200_m,z4_B0200_m,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.200,44538.062,-0.007,5940.763,44538.106,544.996,5940.796,89.073,89.075,89.075,89.073,5941.022,5940.643,5940.763,5940.796,364.767,365.563,365.339,365.324,0.530,0.881,-0.559,-0.208,0.011,0.343,0.348,0.016,1,1,lock_on,coordination
0.400,44465.055,-0.031,5941.213,44465.100,544.973,5941.521,88.928,88.929,88.929,88.927,5943.276,5940.182,5941.213,5941.521,363.214,364.918,364.728,364.730,2.670,3.021,-1.068,-0.717,0.215,0.549,0.145,0.188,1,1,lock_on,coordination
0.600,44392.160,-0.058,5941.703,44392.211,544.942,5942.500,88.783,88.784,88.783,88.782,5947.571,5939.777,5941.703,5942.500,361.188,364.536,364.276,364.270,4.659,5.011,-5.685,-5.333,0.147,0.481,0.216,0.119,1,1,lock_on,coordination
0.800,44319.366,-0.084,5942.123,44319.423,544.906,5943.693,88.638,88.640,88.638,88.636,5953.113,5940.327,5942.123,5943.693,359.306,363.469,363.658,363.661,8.402,8.755,-5.318,-4.966,0.337,0.676,0.030,0.309,1,1,lock_on,lock_on
1.000,44246.685,-0.093,5942.562,44246.752,544.886,5945.093,88.494,88.496,88.493,88.491,5958.933,5941.618,5942.562,5945.093,357.863,362.052,363.213,363.221,12.179,12.532,-8.879,-8.526,0.253,0.587,0.121,0.213,1,1,lock_on,lock_on
1.200,44174.102,-0.087,5942.920,44174.182,544.881,5946.492,88.351,88.353,88.348,88.346,5964.519,5943.635,5942.920,5946.492,356.502,360.528,362.609,362.598,15.090,15.443,-10.928,-10.574,0.440,0.777,0.056,0.393,1,1,lock_on,lock_on
1.400,44101.628,-0.050,5943.293,44101.726,544.908,5947.942,88.209,88.211,88.204,88.202,5969.960,5946.155,5943.293,5947.942,354.852,359.046,362.184,362.153,17.278,17.632,-13.364,-13.010,0.347,0.683,0.051,0.285,1,1,lock_on,lock_on
1.600,44029.248,0.013,5943.583,44029.367,544.960,5949.321,88.067,88.069,88.061,88.059,5975.500,5948.919,5943.583,5949.321,352.901,357.553,361.606,361.548,19.352,19.706,-15.749,-15.395,0.536,0.873,0.120,0.457,1,1,lock_on,lock_on
1.800,43956.972,0.117,5943.887,43957.118,545.054,5950.719,87.927,87.929,87.919,87.917,5980.940,5951.648,5943.887,5950.719,350.838,356.094,361.215,361.130,21.774,22.129,-18.109,-17.754,0.437,0.774,0.002,0.338,1,1,lock_on,lock_on
2.000,43884.781,0.255,5944.105,43884.958,545.182,5952.033,87.788,87.790,87.778,87.776,5985.468,5954.057,5944.105,5952.033,349.430,354.690,360.676,360.565,24.532,24.887,-20.426,-20.070,0.630,0.968,0.170,0.508,1,1,lock_on,lock_on
