Time_s,x3_B0100_m,y3_B0100_m,z3_B0100_m,x4_B0200_m,y4_B0200_m,z4_B0200_m,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,44538.068,0.000,5940.655,44538.142,545.016,5940.986,89.073,89.075,89.127,89.110,5940.922,5940.167,5940.655,5940.986,365.060,365.060,365.354,364.767,0.161,0.511,-1.850,-1.500,0.207,0.881,2.218,1.131,0,0,attack_maneuver,lock_on
0.200,44465.011,0.110,5939.995,44465.394,545.482,5943.239,88.927,88.930,88.981,88.964,5941.768,5941.013,5939.995,5943.239,364.391,364.391,365.203,363.076,0.198,0.549,-1.816,-1.465,0.419,3.024,1.596,1.009,0,0,attack_maneuver,lock_on
0.400,44392.019,0.754,5938.036,44393.138,547.413,5947.529,88.782,88.784,88.835,88.819,5942.585,5941.830,5938.036,5947.529,363.921,363.921,365.035,361.047,0.055,0.407,-1.963,-1.611,1.963,4.972,0.055,2.954,0,0,attack_maneuver,lock_on
0.600,44319.110,2.142,5935.083,44321.421,551.362,5953.027,88.636,88.640,88.690,88.674,5943.143,5942.389,5935.083,5953.027,363.514,363.514,364.723,359.501,0.069,0.424,-1.952,-1.597,2.272,6.168,0.251,4.147,0,0,attack_maneuver,lock_on
0.800,44246.325,3.593,5931.577,44249.968,556.382,5958.875,88.491,88.496,88.544,88.530,5943.411,5942.657,5931.577,5958.875,363.121,363.121,364.141,359.345,0.119,0.477,-1.905,-1.547,1.011,2.334,1.013,0.310,0,0,attack_maneuver,lock_on
1.000,44173.656,4.654,5927.768,44178.527,561.259,5964.540,88.345,88.352,88.399,88.386,5943.431,5942.676,5927.768,5964.540,362.746,362.746,363.620,358.729,0.153,0.514,-1.874,-1.514,0.380,2.245,1.647,0.217,0,0,attack_maneuver,lock_on
1.200,44101.113,5.326,5923.795,44107.362,566.863,5970.429,88.200,88.208,88.254,88.242,5943.410,5942.655,5923.795,5970.429,362.445,362.445,362.879,357.460,0.138,0.503,-1.893,-1.528,1.173,10.015,0.857,7.984,0,0,attack_maneuver,lock_on
1.400,44028.753,6.110,5919.163,44036.710,574.634,5976.689,88.055,88.065,88.109,88.099,5943.501,5942.747,5919.163,5976.689,362.175,362.175,362.299,356.308,0.100,0.470,-1.934,-1.564,2.242,8.272,0.208,6.238,1,1,attack_maneuver,lock_on
1.600,43956.581,7.402,5913.350,43966.213,582.686,5982.860,87.911,87.922,87.965,87.956,5943.836,5943.082,5913.350,5982.860,361.609,361.609,361.800,355.892,0.305,0.680,-1.732,-1.358,2.424,1.566,0.387,0.472,1,1,attack_maneuver,lock_on
1.800,43884.597,8.905,5906.858,43895.678,589.843,5988.822,87.767,87.780,87.821,87.813,5944.696,5943.942,5906.858,5988.822,360.918,360.918,361.145,355.641,0.327,0.706,-1.714,-1.335,2.077,6.581,0.036,4.540,1,1,attack_maneuver,lock_on
