Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,89.073,89.075,89.075,89.073,5940.775,5940.790,5940.763,5940.778,365.339,365.676,365.339,365.676,0.011,0.362,-0.730,-0.379,0.011,0.020,0.348,0.379,1,1,attack_maneuver,attack_maneuver
0.200,88.927,88.929,88.929,88.927,5941.226,5941.388,5941.213,5941.376,364.728,365.443,364.728,365.443,0.215,0.566,-1.875,-1.524,0.215,1.164,0.145,1.524,1,1,attack_maneuver,attack_maneuver
0.400,88.782,88.783,88.783,88.781,5941.716,5942.836,5941.703,5942.824,364.276,364.779,364.276,364.779,0.145,0.496,-4.569,-4.218,0.145,3.857,0.216,4.218,1,1,attack_maneuver,attack_maneuver
0.600,88.636,88.638,88.638,88.636,5942.136,5945.334,5942.123,5945.322,363.658,363.686,363.658,363.686,0.333,0.683,-7.116,-6.766,0.333,6.403,0.030,6.766,1,1,attack_maneuver,attack_maneuver
0.800,88.491,88.492,88.493,88.491,5942.575,5948.413,5942.562,5948.402,363.213,362.346,363.213,362.346,0.244,0.592,-9.873,-9.526,0.244,9.159,0.122,9.525,1,1,attack_maneuver,attack_maneuver
1.000,88.346,88.348,88.348,88.347,5942.933,5951.672,5942.920,5951.661,362.608,360.855,362.609,360.856,0.426,0.770,-12.509,-12.165,0.426,11.793,0.054,12.165,1,1,attack_maneuver,attack_maneuver
1.200,88.201,88.204,88.204,88.204,5943.306,5954.775,5943.293,5954.766,362.184,359.382,362.184,359.382,0.325,0.663,-15.014,-14.676,0.325,14.297,0.054,14.675,1,1,attack_maneuver,attack_maneuver
1.400,88.056,88.061,88.061,88.063,5943.597,5957.413,5943.583,5957.405,361.605,357.673,361.606,357.674,0.504,0.835,-17.419,-17.088,0.504,16.700,0.117,17.087,1,1,attack_maneuver,attack_maneuver
1.600,87.911,87.919,87.920,87.924,5943.900,5959.563,5943.887,5959.555,361.214,355.844,361.215,355.845,0.395,0.716,-19.616,-19.294,0.395,18.895,0.003,19.293,1,1,attack_maneuver,attack_maneuver
1.800,87.767,87.778,87.779,87.786,5944.118,5961.503,5944.105,5961.458,360.676,354.055,360.676,354.294,0.575,0.885,-21.759,-21.449,0.575,21.074,0.165,21.484,1,1,attack_maneuver,attack_maneuver
2.000,87.623,87.638,87.639,87.651,5944.347,5963.523,5944.334,5963.070,360.334,352.564,360.334,352.918,0.459,0.757,-23.943,-23.645,0.459,23.286,0.035,23.711,1,1,attack_maneuver,attack_maneuver
2.200,87.479,87.499,87.501,87.518,5944.490,5965.578,5944.476,5964.164,359.854,351.208,359.855,351.365,0.641,0.925,-26.124,-25.841,0.641,25.504,0.202,25.944,1,1,attack_maneuver,attack_maneuver
2.400,87.335,87.362,87.364,87.387,5944.640,5967.451,5944.627,5964.781,359.581,349.907,359.581,349.775,0.522,0.789,-28.317,-28.050,0.522,27.668,0.065,28.124,1,1,attack_maneuver,attack_maneuver
2.600,87.191,87.225,87.228,87.259,5944.702,5968.914,5944.688,5965.255,359.179,348.435,359.180,348.072,0.708,0.957,-30.516,-30.267,0.708,29.384,0.232,29.859,1,1,attack_maneuver,attack_maneuver
2.800,87.047,87.091,87.093,87.134,5944.768,5970.017,5944.754,5966.233,358.994,346.941,358.995,346.579,0.585,0.815,-32.674,-32.445,0.585,31.017,0.089,31.514,1,1,attack_maneuver,attack_maneuver
3.000,86.904,86.957,86.960,87.011,5944.671,5971.030,5944.656,5968.415,358.914,345.762,358.915,345.302,0.613,0.822,-34.856,-34.647,0.613,32.017,0.095,32.535,1,1,attack_maneuver,attack_maneuver
3.200,86.760,86.825,86.829,86.890,5944.573,5971.941,5944.559,5972.197,358.711,344.726,358.712,344.440,0.783,0.970,-36.998,-36.811,0.783,31.690,0.241,32.232,1,1,attack_maneuver,attack_maneuver
3.400,86.617,86.693,86.699,86.772,5944.642,5972.551,5944.627,5977.014,358.698,343.756,358.699,343.906,0.682,0.848,-39.130,-38.964,0.682,30.958,0.115,31.525,1,1,attack_maneuver,attack_maneuver
3.600,86.473,86.560,86.570,86.655,5944.716,5972.643,5944.701,5982.234,358.509,342.597,358.510,343.261,0.860,1.005,-41.273,-41.129,0.860,28.636,0.267,29.229,1,1,attack_maneuver,attack_maneuver
3.800,86.330,86.428,86.443,86.539,5944.839,5972.261,5944.824,5988.033,358.488,341.395,358.488,342.679,0.751,0.874,-43.403,-43.279,0.750,23.093,0.129,23.713,1,1,attack_maneuver,attack_maneuver
4.000,86.187,86.295,86.318,86.425,5944.889,5971.675,5944.874,5994.245,358.292,340.464,358.293,342.571,0.928,1.031,-45.568,-45.465,0.928,26.872,0.278,27.522,1,1,attack_maneuver,attack_maneuver
4.200,86.043,86.162,86.195,86.313,5944.953,5970.885,5944.938,6000.221,358.266,339.625,358.267,342.619,0.815,0.897,-47.686,-47.603,0.814,29.051,0.134,29.731,1,1,attack_maneuver,attack_maneuver
4.400,85.900,86.029,86.074,86.202,5944.929,5969.724,5944.913,6005.492,358.071,338.577,358.072,342.626,0.994,1.056,-49.789,-49.726,0.994,30.322,0.282,31.033,1,1,attack_maneuver,attack_maneuver
