Time_s,Agent_ID,Radar_Type,Status,Target_ID,Target_Distance_km,SNR_dB,Doppler_Shift_m_s,Lock_Quality,Beam_Angle_deg,Side
0.0,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07342742005027,-9.397269732837152,-0.0037726026652552397,0.14674174793774672,90.00000887480542,Friendly
0.0,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.14674174793774672,90.35926674197077,Friendly
0.0,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.0,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.2,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07342742005027,-9.397269732837152,-0.0037726026652552397,0.1418433959929242,90.00000887480542,Friendly
0.2,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.1418433959929242,90.35926674197077,Friendly
0.2,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.2,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.4,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07342742005027,-9.397269732837152,-0.0037726026652552397,0.13319853178753677,90.00000887480542,Friendly
0.4,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.13319853178753677,90.35926674197077,Friendly
0.4,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.4,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.6000000000000001,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07342742005027,-9.397269732837152,-0.0037726026652552397,0.12708461476311858,90.00000887480542,Friendly
0.6000000000000001,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.12708461476311858,90.35926674197077,Friendly
0.6000000000000001,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.6000000000000001,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.8,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07342742005027,-9.397269732837152,-0.0037726026652552397,0.11928057957867262,90.00000887480542,Friendly
0.8,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.11928057957867262,90.35926674197077,Friendly
0.8,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.8,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.0,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07342742005027,-9.397269732837152,-0.0037726026652552397,0.11137020527117872,90.00000887480542,Friendly
1.0,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.11137020527117872,90.35926674197077,Friendly
1.0,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.0,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.2000000000000002,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07342742005027,-9.397269732837152,-0.0037726026652552397,0.10493064817862233,90.00000887480542,Friendly
1.2000000000000002,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.10493064817862233,90.35926674197077,Friendly
1.2000000000000002,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.2000000000000002,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.4000000000000001,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07342742005027,-9.397269732837152,-0.0037726026652552397,0.09592624334993892,90.00000887480542,Friendly
1.4000000000000001,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.09592624334993892,90.35926674197077,Friendly
1.4000000000000001,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.4000000000000001,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.6,A0100,AN/APG-68(V)9,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Friendly
1.6,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.08938531254901723,90.35926674197077,Friendly
1.6,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.6,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.8,A0100,AN/APG-68(V)9,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Friendly
1.8,A0200,AN/APG-68(V)9,SEARCH,B0100,89.07528803445207,-9.415781555059304,-152.720169510085,0.08069789545670476,90.35926674197077,Friendly
1.8,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.8,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.0,A0100,AN/APG-68(V)9,SEARCH,B0100,87.62267488338094,-8.966898756489648,0.24323496996572877,0.14809776932175725,89.99941985825973,Friendly
2.0,A0100,AN/APG-68(V)9,SEARCH,B0200,87.6363644776243,-8.951402155178798,162.31221033354976,0.10198029586192214,89.60783181745313,Friendly
2.0,A0200,AN/APG-68(V)9,SEARCH,B0200,87.67669730888336,-8.98252044760746,4.27598795485484,0.10198029586192214,89.98966871723957,Friendly
2.0,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.0,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.2,A0100,AN/APG-68(V)9,SEARCH,B0100,87.62267488338094,-8.966898756489648,0.24323496996572877,0.13860305282878513,89.99941985825973,Friendly
2.2,A0100,AN/APG-68(V)9,SEARCH,B0200,87.6363644776243,-8.951402155178798,162.31221033354976,0.1010135626721727,89.60783181745313,Friendly
2.2,A0200,AN/APG-68(V)9,SEARCH,B0200,87.67669730888336,-8.98252044760746,4.27598795485484,0.1010135626721727,89.98966871723957,Friendly
2.2,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.2,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.4000000000000004,A0100,AN/APG-68(V)9,SEARCH,B0100,87.62267488338094,-8.966898756489648,0.24323496996572877,0.13251878139533096,89.99941985825973,Friendly
2.4000000000000004,A0100,AN/APG-68(V)9,SEARCH,B0200,87.6363644776243,-8.951402155178798,162.31221033354976,0.10245832138465177,89.60783181745313,Friendly
2.4000000000000004,A0200,AN/APG-68(V)9,SEARCH,B0200,87.67669730888336,-8.98252044760746,4.27598795485484,0.10245832138465177,89.98966871723957,Friendly
2.4000000000000004,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.4000000000000004,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.6,A0100,AN/APG-68(V)9,SEARCH,B0100,87.62267488338094,-8.966898756489648,0.24323496996572877,0.12331965707780221,89.99941985825973,Friendly
2.6,A0100,AN/APG-68(V)9,SEARCH,B0200,87.6363644776243,-8.951402155178798,162.31221033354976,0.09653418490145971,89.60783181745313,Friendly
2.6,A0200,AN/APG-68(V)9,SEARCH,B0200,87.67669730888336,-8.98252044760746,4.27598795485484,0.09653418490145971,89.98966871723957,Friendly
2.6,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.6,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.8000000000000003,A0100,AN/APG-68(V)9,SEARCH,B0100,87.62267488338094,-8.966898756489648,0.24323496996572877,0.11711566765034738,89.99941985825973,Friendly
2.8000000000000003,A0100,AN/APG-68(V)9,SEARCH,B0200,87.6363644776243,-8.951402155178798,162.31221033354976,0.08160750953010998,89.60783181745313,Friendly
2.8000000000000003,A0200,AN/APG-68(V)9,SEARCH,B0200,87.67669730888336,-8.98252044760746,4.27598795485484,0.08160750953010998,89.98966871723957,Friendly
