Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,89.073,89.075,89.075,89.074,5940.775,5940.867,5940.799,5940.739,365.339,363.645,364.851,365.339,0.011,0.362,-0.571,-0.221,0.097,0.362,0.456,0.002,1,1,attack_maneuver,attack_maneuver
0.200,88.928,88.929,88.930,88.928,5941.226,5942.565,5940.712,5941.190,364.728,361.150,364.077,364.728,0.215,0.566,-1.157,-0.806,0.867,0.566,1.227,0.206,1,1,attack_maneuver,attack_maneuver
0.400,88.782,88.783,88.785,88.783,5941.716,5946.263,5939.141,5941.680,364.276,358.050,363.731,364.276,0.145,0.497,-1.641,-1.289,0.979,0.497,1.339,0.136,1,1,attack_maneuver,attack_maneuver
0.600,88.636,88.638,88.642,88.640,5942.136,5952.011,5935.951,5942.099,363.658,354.923,363.582,363.658,0.333,0.685,-2.726,-2.373,0.030,0.685,0.332,0.323,1,1,attack_maneuver,attack_maneuver
0.800,88.491,88.492,88.499,88.497,5942.575,5959.817,5931.461,5942.538,363.213,351.658,363.256,363.213,0.245,0.597,-3.972,-3.619,2.020,0.597,1.656,0.233,1,1,attack_maneuver,attack_maneuver
1.000,88.346,88.347,88.357,88.355,5942.933,5969.639,5925.907,5942.897,362.608,348.107,362.389,362.609,0.427,0.779,-5.112,-4.760,3.246,0.779,2.880,0.413,1,1,attack_maneuver,attack_maneuver
1.200,88.202,88.202,88.217,88.214,5943.306,5981.692,5919.198,5943.270,362.184,344.426,361.558,362.184,0.327,0.679,-5.878,-5.527,3.035,0.679,2.666,0.309,1,1,attack_maneuver,attack_maneuver
1.400,88.058,88.058,88.079,88.075,5943.597,5996.068,5911.719,5943.560,361.605,340.655,360.821,361.606,0.508,0.859,-5.478,-5.128,2.658,0.859,2.285,0.486,1,1,attack_maneuver,attack_maneuver
1.600,87.914,87.913,87.942,87.937,5943.900,6012.744,5903.871,5943.863,361.214,337.184,360.214,361.215,0.400,0.750,-4.210,-3.860,2.472,0.750,2.095,0.373,1,1,attack_maneuver,attack_maneuver
1.800,87.770,87.769,87.806,87.801,5944.118,6031.230,5895.759,5944.081,360.676,334.164,359.974,360.676,0.581,0.931,-2.797,-2.448,2.010,0.931,1.631,0.551,1,1,attack_maneuver,attack_maneuver
2.000,87.626,87.624,87.671,87.665,5944.347,6051.241,5887.230,5944.310,360.334,331.643,359.813,360.334,0.467,0.816,-2.324,-1.975,2.137,0.816,1.756,0.434,1,1,attack_maneuver,attack_maneuver
2.200,87.483,87.480,87.537,87.530,5944.490,6071.951,5878.576,5944.452,359.854,329.786,359.407,359.855,0.651,0.999,-3.832,-3.484,2.056,0.998,1.672,0.614,1,1,attack_maneuver,attack_maneuver
2.400,87.340,87.337,87.403,87.396,5944.640,6092.233,5869.775,5944.603,359.581,328.131,359.326,359.581,0.532,0.880,-4.221,-3.874,1.637,0.880,1.251,0.493,1,1,attack_maneuver,attack_maneuver
2.600,87.197,87.193,87.269,87.262,5944.702,6111.558,5860.372,5944.664,359.179,326.507,359.664,359.180,0.719,1.066,-4.363,-4.017,1.892,1.066,1.504,0.677,1,1,attack_maneuver,attack_maneuver
2.800,87.054,87.049,87.136,87.127,5944.768,6129.683,5849.863,5944.731,358.994,324.991,360.002,358.995,0.598,0.944,-4.324,-3.978,3.310,0.944,2.919,0.553,1,1,attack_maneuver,attack_maneuver
3.000,86.911,86.906,87.002,86.993,5944.671,6146.513,5838.335,5944.633,358.914,323.560,360.184,358.915,0.628,0.973,-4.171,-3.826,3.596,0.973,3.203,0.579,1,1,attack_maneuver,attack_maneuver
3.200,86.768,86.762,86.869,86.859,5944.573,6162.014,5826.301,5944.535,358.711,322.181,360.160,358.712,0.799,1.143,-3.928,-3.585,2.433,1.143,2.037,0.746,1,1,attack_maneuver,attack_maneuver
