Time_s,x3_B0100_m,y3_B0100_m,z3_B0100_m,x4_B0200_m,y4_B0200_m,z4_B0200_m,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,44538.062,-0.007,5940.763,44538.142,545.016,5940.986,89.073,89.075,89.075,89.074,5940.775,5940.867,5940.763,5940.986,365.339,363.645,365.339,364.767,0.011,0.362,-0.572,-0.221,0.011,0.881,0.348,0.521,1,1,formation_maintain,attack_maneuver
0.200,44465.055,-0.031,5941.213,44465.380,545.482,5943.240,88.927,88.929,88.930,88.928,5941.226,5942.565,5941.213,5943.240,364.728,361.150,364.728,363.214,0.215,0.566,-1.157,-0.806,0.215,3.021,0.145,2.661,1,1,attack_maneuver,attack_maneuver
0.400,44392.160,-0.058,5941.703,44393.096,547.413,5947.534,88.782,88.784,88.785,88.784,5941.716,5946.263,5941.703,5947.534,364.276,358.050,364.276,361.188,0.145,0.498,-1.641,-1.288,0.145,5.011,0.216,4.650,1,1,attack_maneuver,attack_maneuver
0.600,44319.366,-0.084,5942.123,44321.384,551.548,5953.076,88.636,88.640,88.641,88.642,5942.136,5952.011,5942.123,5953.076,363.658,354.923,363.658,359.306,0.333,0.689,-2.726,-2.369,0.333,8.754,0.029,8.392,1,1,attack_maneuver,attack_maneuver
0.800,44246.685,-0.093,5942.562,44250.230,558.244,5958.896,88.491,88.496,88.498,88.500,5942.575,5959.817,5942.562,5958.896,363.213,351.658,363.213,357.863,0.244,0.606,-3.972,-3.611,0.244,12.531,0.120,12.167,1,1,attack_maneuver,attack_maneuver
1.000,44174.102,-0.087,5942.920,44179.601,567.397,5964.481,88.346,88.353,88.357,88.360,5942.933,5969.639,5942.920,5964.481,362.608,348.107,362.609,356.502,0.426,0.794,-5.113,-4.745,0.426,15.442,0.059,15.076,1,1,attack_maneuver,attack_maneuver
1.200,44101.628,-0.050,5943.293,44109.650,579.114,5969.922,88.201,88.210,88.216,88.222,5943.306,5981.692,5943.293,5969.922,362.184,344.426,362.184,354.852,0.325,0.701,-5.881,-5.505,0.325,17.630,0.045,17.261,1,1,attack_maneuver,attack_maneuver
1.400,44029.248,0.013,5943.583,44040.571,593.494,5975.462,88.056,88.069,88.077,88.086,5943.597,5996.068,5943.583,5975.462,361.605,340.655,361.606,352.901,0.504,0.890,-5.482,-5.096,0.504,19.704,0.131,19.331,1,1,attack_maneuver,attack_maneuver
1.600,43956.972,0.117,5943.887,43972.573,610.745,5980.903,87.911,87.929,87.939,87.953,5943.900,6012.744,5943.887,5980.903,361.214,337.184,361.215,350.838,0.395,0.793,-4.215,-3.817,0.395,22.126,0.018,21.749,1,1,attack_maneuver,attack_maneuver
1.800,43884.781,0.255,5944.105,43905.595,630.619,5985.430,87.767,87.790,87.803,87.821,5944.118,6031.230,5944.105,5985.430,360.676,334.164,360.676,349.430,0.575,0.986,-2.803,-2.392,0.575,24.884,0.195,24.505,1,1,attack_maneuver,attack_maneuver
2.000,43812.686,0.443,5944.334,43839.467,652.631,5988.690,87.623,87.652,87.667,87.692,5944.347,6051.241,5944.334,5988.690,360.334,331.643,360.334,348.348,0.459,0.886,-2.332,-1.905,0.459,27.246,0.078,26.864,1,1,attack_maneuver,attack_maneuver
2.200,43740.666,0.670,5944.476,43774.203,676.668,5990.968,87.479,87.515,87.532,87.564,5944.490,6071.951,5944.476,5990.968,359.854,329.786,359.855,347.640,0.641,1.084,-3.841,-3.398,0.641,27.036,0.258,26.652,1,1,attack_maneuver,attack_maneuver
2.400,43668.728,0.955,5944.627,43709.614,702.228,5992.833,87.335,87.378,87.398,87.437,5944.640,6092.233,5944.627,5992.833,359.581,328.131,359.581,347.331,0.522,0.982,-4.231,-3.771,0.522,25.133,0.136,24.747,1,1,attack_maneuver,attack_maneuver
2.600,43596.851,1.284,5944.688,43645.374,728.631,5994.569,87.191,87.243,87.264,87.310,5944.702,6111.558,5944.688,5994.569,359.179,326.507,359.180,347.451,0.708,1.185,-4.374,-3.897,0.708,23.918,0.319,23.530,1,1,attack_maneuver,attack_maneuver
2.800,43525.041,1.676,5944.754,43581.227,755.378,5996.146,87.047,87.107,87.129,87.183,5944.768,6129.683,5944.754,5996.146,358.994,324.991,358.995,347.762,0.585,1.081,-4.337,-3.841,0.585,23.122,0.195,22.731,1,1,attack_maneuver,attack_maneuver
3.000,43453.254,2.105,5944.656,43517.059,782.222,5997.433,86.904,86.971,86.995,87.057,5944.671,6146.513,5944.656,5997.433,358.914,323.560,358.915,347.934,0.613,1.127,-4.186,-3.672,0.613,22.763,0.220,22.370,1,1,attack_maneuver,attack_maneuver
3.200,43381.490,2.554,5944.559,43452.850,809.075,5998.345,86.760,86.835,86.861,86.930,5944.573,6162.014,5944.559,5998.345,358.711,322.181,358.712,348.001,0.783,1.315,-3.945,-3.413,0.783,22.959,0.387,22.563,1,1,attack_maneuver,attack_maneuver
3.400,43309.755,3.032,5944.627,43388.695,835.919,5998.791,86.617,86.700,86.726,86.803,5944.642,6176.181,5944.627,5998.791,358.698,320.857,358.699,347.432,0.682,1.232,-3.624,-3.074,0.682,23.458,0.283,23.059,1,1,attack_maneuver,attack_maneuver
3.600,43238.034,3.533,5944.701,43324.712,862.941,5999.239,86.473,86.564,86.592,86.677,5944.716,6189.021,5944.701,5999.239,358.509,319.589,358.510,347.228,0.860,1.429,-3.230,-2.662,0.860,24.503,0.459,24.102,1,1,attack_maneuver,attack_maneuver
3.800,43166.341,4.074,5944.824,43260.889,890.318,5999.892,86.330,86.429,86.458,86.550,5944.839,6200.550,5944.824,5999.892,358.488,318.373,358.488,347.315,0.751,1.338,-2.743,-2.156,0.750,24.758,0.347,24.354,1,1,attack_maneuver,attack_maneuver
4.000,43094.663,4.645,5944.874,43197.129,917.911,6000.660,86.187,86.294,86.323,86.424,5944.889,6210.789,5944.874,6000.660,358.292,317.208,358.293,347.419,0.928,1.535,-2.189,-1.583,0.928,24.764,0.522,24.357,1,1,attack_maneuver,attack_maneuver
4.200,43023.014,5.263,5944.938,43133.407,945.621,6001.485,86.043,86.159,86.189,86.298,5944.953,6219.763,5944.938,6001.485,358.266,316.090,358.267,347.504,0.815,1.440,-1.579,-0.954,0.814,24.694,0.406,24.285,1,1,attack_maneuver,attack_maneuver
4.400,42951.381,5.918,5944.913,43069.688,973.387,6002.172,85.900,86.024,86.055,86.172,5944.929,6227.545,5944.913,6002.172,358.071,314.795,358.072,347.588,0.994,1.639,-0.813,-0.170,0.994,24.714,0.584,24.303,1,1,attack_maneuver,attack_maneuver
4.600,42879.777,6.627,5944.894,43006.027,1001.150,6002.722,85.757,85.889,85.921,86.046,5944.910,6234.255,5944.894,6002.722,358.048,313.521,358.049,346.896,0.877,1.540,-0.758,-0.095,0.877,24.866,0.464,24.453,1,1,attack_maneuver,attack_maneuver
4.800,42808.188,7.377,5944.782,42942.446,1028.898,6003.312,85.614,85.754,85.787,85.920,5944.799,6239.707,5944.782,6003.312,357.856,312.459,357.857,346.929,1.060,1.743,-0.634,0.048,1.060,24.757,0.645,24.342,1,1,attack_maneuver,attack_maneuver
5.000,42736.628,8.188,5944.674,42878.909,1056.632,6003.998,85.471,85.619,85.653,85.794,5944.690,6243.921,5944.674,6003.998,357.837,311.449,357.838,346.290,0.940,1.641,-0.292,0.409,0.940,24.913,0.523,24.496,1,1,attack_maneuver,attack_maneuver
5.200,42665.083,9.045,5944.471,42815.450,1084.353,6004.836,85.327,85.485,85.519,85.669,5944.488,6246.967,5944.471,6004.836,357.650,310.278,357.651,346.329,1.127,1.848,0.312,1.032,1.127,24.819,0.709,24.400,1,1,formation_maintain,attack_maneuver
5.400,42593.565,9.969,5944.269,42752.043,1112.066,6005.640,85.184,85.350,85.386,85.544,5944.286,6248.993,5944.269,6005.640,357.635,309.134,357.636,345.652,1.005,1.745,0.291,1.030,1.005,24.982,0.585,24.561,1,1,formation_maintain,attack_maneuver
5.600,42522.043,10.930,5943.900,42688.718,1139.771,6006.478,85.041,85.216,85.253,85.419,5943.917,6249.790,5943.900,6006.478,357.676,308.238,357.677,345.679,1.037,1.796,0.425,1.183,1.036,24.884,0.615,24.461,1,1,formation_maintain,attack_maneuver
5.800,42450.526,11.915,5943.527,42625.446,1167.473,6007.229,84.898,85.081,85.120,85.294,5943.544,6249.406,5943.527,6007.229,357.540,307.155,357.541,345.009,1.213,1.991,0.895,1.672,1.212,25.046,0.790,24.622,1,1,formation_maintain,attack_maneuver
6.000,42379.028,12.932,5943.317,42562.257,1195.172,6007.991,84.755,84.947,84.987,85.170,5943.335,6248.017,5943.317,6007.991,357.548,306.103,357.549,345.044,1.112,1.909,0.782,1.578,1.111,24.947,0.687,24.521,1,1,formation_maintain,attack_maneuver
6.200,42307.541,13.976,5943.110,42499.121,1222.870,6008.657,84.612,84.813,84.854,85.046,5943.128,6245.401,5943.110,6008.657,357.375,305.329,357.376,344.383,1.292,2.109,0.863,1.678,1.292,25.111,0.866,24.685,1,1,formation_maintain,attack_maneuver
6.400,42236.080,15.062,5942.951,42436.066,1250.568,6009.327,84.469,84.679,84.722,84.922,5942.969,6241.589,5942.951,6009.327,357.369,304.371,357.370,344.429,1.182,2.018,1.306,2.140,1.182,25.012,0.755,24.584,1,1,formation_maintain,attack_maneuver
6.600,42164.630,16.180,5942.718,42373.063,1278.269,6009.897,84.327,84.545,84.590,84.799,5942.736,6236.770,5942.718,6009.897,357.189,303.442,357.190,343.780,1.363,2.219,1.154,2.007,1.363,25.180,0.935,24.750,1,1,formation_maintain,attack_maneuver
6.800,42093.208,17.349,5942.496,42310.140,1305.973,6010.470,84.184,84.411,84.458,84.676,5942.514,6230.713,5942.496,6010.470,357.178,302.805,357.180,343.837,1.250,2.125,1.207,2.080,1.249,25.080,0.821,24.649,1,1,formation_maintain,attack_maneuver
7.000,42021.799,18.555,5942.185,42247.269,1333.683,6010.941,84.041,84.277,84.327,84.553,5942.203,6223.447,5942.185,6010.941,356.999,301.977,357.001,343.200,1.433,2.328,1.644,2.536,1.433,25.251,1.003,24.820,1,1,formation_maintain,attack_maneuver
7.200,41950.416,19.819,5941.877,42184.477,1361.401,6011.414,83.898,84.144,84.196,84.431,5941.896,6215.171,5941.877,6011.414,356.991,301.179,356.992,343.268,1.317,2.230,1.462,2.373,1.316,25.151,0.885,24.718,1,1,formation_maintain,attack_maneuver
7.400,41879.046,21.125,5941.476,42121.734,1389.127,6011.784,83.755,84.010,84.065,84.309,5941.494,6205.646,5941.476,6011.784,356.815,300.677,356.817,342.642,1.504,2.436,1.490,2.421,1.503,25.326,1.071,24.892,1,1,formation_maintain,attack_maneuver
7.600,41807.702,22.496,5941.076,42059.072,1416.865,6012.153,83.613,83.876,83.934,84.187,5941.095,6194.903,5941.076,6012.153,356.811,299.980,356.812,342.722,1.384,2.337,1.923,2.873,1.383,25.226,0.951,24.791,1,1,formation_maintain,attack_maneuver
7.800,41736.353,23.902,5940.508,41996.457,1444.614,6012.419,83.470,83.743,83.804,84.066,5940.527,6183.147,5940.508,6012.419,356.862,299.306,356.864,342.107,1.416,2.388,1.708,2.678,1.415,25.405,0.982,24.969,1,1,formation_maintain,attack_maneuver
8.000,41665.006,25.329,5939.937,41933.921,1472.378,6012.682,83.327,83.610,83.674,83.945,5939.956,6170.136,5939.937,6012.682,356.737,298.936,356.739,342.198,1.588,2.580,1.708,2.697,1.587,25.305,1.154,24.868,1,1,formation_maintain,attack_maneuver
8.200,41593.675,26.787,5939.576,41871.433,1500.157,6012.840,83.185,83.476,83.545,83.825,5939.595,6155.902,5939.576,6012.840,356.755,298.362,356.756,341.594,1.519,2.531,2.134,3.143,1.519,25.488,1.084,25.051,1,1,formation_maintain,attack_maneuver
8.400,41522.350,28.274,5939.416,41809.023,1527.955,6012.995,83.042,83.343,83.416,83.706,5939.435,6140.650,5939.416,6012.995,356.605,297.777,356.606,341.696,1.698,2.729,1.882,2.909,1.697,25.388,1.262,24.950,1,1,formation_maintain,attack_maneuver
8.600,41451.047,29.805,5939.452,41746.612,1555.792,6013.041,82.899,83.210,83.287,83.586,5939.471,6124.136,5939.452,6013.041,356.618,297.514,356.620,341.656,1.581,2.631,1.847,2.895,1.580,25.575,1.144,25.136,1,1,formation_maintain,attack_maneuver
8.800,41379.756,31.369,5939.478,41684.222,1583.679,6013.080,82.757,83.077,83.159,83.468,5939.497,6106.395,5939.478,6013.080,356.441,297.045,356.443,341.785,1.758,2.829,2.261,3.328,1.757,25.475,1.321,25.035,1,1,formation_maintain,attack_maneuver
9.000,41308.491,32.983,5939.546,41621.831,1611.608,6013.008,82.614,82.944,83.032,83.349,5939.565,6087.636,5939.546,6013.008,356.431,296.554,356.433,341.749,1.645,2.735,1.962,3.049,1.644,25.667,1.207,25.227,1,1,formation_maintain,attack_maneuver
9.200,41237.239,34.633,5939.535,41559.463,1639.590,6012.926,82.472,82.811,82.905,83.231,5939.554,6067.615,5939.535,6012.926,356.250,296.390,356.251,341.882,1.825,2.936,1.888,2.995,1.824,25.567,1.387,25.126,1,1,formation_maintain,attack_maneuver
9.400,41166.016,36.338,5939.535,41497.077,1667.617,6012.663,82.329,82.678,82.778,83.114,5939.554,6046.293,5939.535,6012.663,356.238,296.337,356.240,342.064,1.710,2.840,2.094,3.220,1.709,25.617,1.271,25.175,1,1,formation_maintain,attack_maneuver
9.600,41094.805,38.084,5939.442,41434.675,1695.666,6012.376,82.187,82.545,82.652,82.997,5939.461,6023.772,5939.442,6012.376,356.058,296.333,356.060,342.069,1.894,3.045,2.130,3.276,1.893,25.796,1.455,25.353,1,1,search,attack_maneuver
9.800,41023.621,39.892,5939.353,41372.277,1723.743,6012.270,82.045,82.412,82.526,82.881,5939.372,6000.719,5939.353,6012.270,356.049,296.568,356.051,342.212,1.777,2.947,0.328,1.493,1.775,25.740,1.336,25.296,1,1,search,attack_maneuver
10.000,40952.451,41.745,5939.168,41309.914,1751.823,6012.321,81.902,82.279,82.400,82.764,5939.187,5978.337,5939.168,6012.321,355.874,296.456,355.875,341.635,1.965,3.156,-1.097,0.088,1.964,25.928,1.524,25.483,1,1,search,attack_maneuver
10.200,40881.307,43.665,5938.983,41247.622,1779.911,6012.544,81.760,82.147,82.274,82.647,5939.002,5957.379,5938.983,6012.544,355.869,295.748,355.871,341.762,1.846,3.057,-1.997,-0.792,1.844,25.835,1.403,25.388,1,1,lock_on,attack_maneuver
10.400,40810.158,45.623,5938.629,41185.370,1808.008,6012.736,81.618,82.014,82.147,82.529,5938.648,5938.106,5938.629,6012.736,355.921,294.803,355.923,341.172,1.881,3.112,-2.811,-1.586,1.880,26.021,1.437,25.573,1,1,lock_on,attack_maneuver
