Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,89.073,89.075,89.075,89.074,5940.775,5940.722,5940.801,5940.986,365.339,364.819,365.676,364.767,0.011,0.362,-0.680,-0.329,0.371,0.881,0.730,0.521,1,1,attack_maneuver,search
0.200,88.927,88.929,88.929,88.928,5941.226,5940.747,5941.400,5943.239,364.728,364.466,365.443,363.076,0.215,0.566,-0.060,0.291,1.515,3.024,1.875,2.664,1,1,attack_maneuver,lock_on
0.400,88.781,88.784,88.783,88.783,5941.716,5939.970,5942.848,5947.531,364.276,364.058,364.779,361.045,0.144,0.498,-0.852,-0.498,4.209,5.015,4.569,4.654,1,1,attack_maneuver,lock_on
0.600,88.636,88.640,88.638,88.638,5942.136,5939.189,5945.345,5953.062,363.658,363.491,363.686,359.175,0.331,0.689,-6.503,-6.144,6.755,8.687,7.116,8.325,1,1,attack_maneuver,lock_on
0.800,88.491,88.496,88.493,88.495,5942.575,5939.152,5948.425,5958.893,363.213,362.056,362.346,358.107,0.239,0.606,-6.520,-6.154,9.512,10.418,9.875,10.055,1,1,attack_maneuver,lock_on
1.000,88.346,88.353,88.349,88.352,5942.933,5940.256,5951.684,5964.611,362.608,360.330,360.856,357.950,0.416,0.793,-8.566,-8.189,12.147,5.020,12.513,4.653,1,1,attack_maneuver,lock_on
1.200,88.202,88.209,88.206,88.209,5943.306,5943.123,5954.787,5970.205,362.184,358.814,359.382,358.070,0.309,0.697,-9.407,-9.019,14.651,2.922,15.022,2.551,1,1,attack_maneuver,lock_on
1.400,88.059,88.066,88.065,88.067,5943.597,5947.801,5957.425,5975.404,361.605,357.621,357.674,358.237,0.480,0.881,-9.232,-8.831,17.055,0.936,17.431,0.560,1,1,attack_maneuver,lock_on
1.600,87.917,87.922,87.924,87.925,5943.900,5953.207,5959.575,5979.997,361.214,357.058,355.845,357.779,0.361,0.776,-9.021,-8.606,19.250,1.463,19.632,1.081,1,1,attack_maneuver,lock_on
1.800,87.777,87.779,87.785,87.783,5944.118,5957.856,5961.515,5984.692,360.676,356.547,354.056,356.729,0.529,0.961,-8.781,-8.350,21.393,9.101,21.780,8.714,1,1,attack_maneuver,lock_on
2.000,87.637,87.636,87.647,87.641,5944.347,5961.295,5963.534,5989.938,360.334,355.756,352.565,355.710,0.400,0.851,-8.429,-7.978,23.575,8.499,23.968,8.106,1,1,attack_maneuver,lock_on
2.200,87.498,87.494,87.510,87.500,5944.490,5963.393,5965.588,5995.172,359.854,355.243,351.208,355.490,0.567,1.039,-8.450,-7.979,25.756,2.268,26.154,1.869,1,1,attack_maneuver,lock_on
2.400,87.361,87.352,87.374,87.359,5944.640,5964.546,5967.459,6000.073,359.581,354.716,349.908,355.618,0.431,0.925,-8.085,-7.592,27.947,2.769,28.351,2.364,1,1,attack_maneuver,lock_on
2.600,87.225,87.209,87.239,87.218,5944.702,5965.185,5968.919,6004.467,359.179,354.492,348.436,355.469,0.599,1.115,-8.016,-7.499,30.145,0.705,30.555,0.295,1,1,attack_maneuver,lock_on
2.800,87.090,87.067,87.106,87.077,5944.768,5965.358,5970.038,6008.400,358.994,354.415,346.739,354.685,0.456,0.997,-7.876,-7.335,31.882,6.303,32.298,5.887,1,1,attack_maneuver,lock_on
3.000,86.957,86.925,86.975,86.936,5944.671,5965.164,5971.415,6012.231,358.914,354.419,345.235,353.996,0.463,1.031,-7.744,-7.176,33.580,12.916,34.002,12.493,1,1,attack_maneuver,lock_on
3.200,86.826,86.783,86.845,86.796,5944.573,5964.752,5973.805,6015.774,358.711,354.268,343.978,353.965,0.609,1.207,-7.501,-6.904,34.793,9.760,35.222,9.331,1,1,attack_maneuver,lock_on
3.400,86.695,86.641,86.716,86.655,5944.642,5964.384,5977.696,6019.116,358.698,354.361,343.140,354.239,0.485,1.113,-7.510,-6.882,34.598,6.127,35.033,5.691,1,1,attack_maneuver,lock_on
3.600,86.565,86.499,86.588,86.515,5944.716,5964.134,5982.634,6021.956,358.509,354.276,342.591,354.536,0.639,1.298,-7.291,-6.633,33.824,4.197,34.266,3.755,1,1,attack_maneuver,lock_on
3.800,86.435,86.357,86.459,86.374,5944.839,5964.034,5987.965,6023.902,358.488,354.344,342.190,354.782,0.506,1.194,-7.386,-6.698,33.052,3.251,33.500,2.803,1,1,attack_maneuver,lock_on
4.000,86.304,86.215,86.331,86.233,5944.889,5963.910,5993.435,6024.718,358.292,354.208,341.528,354.739,0.660,1.378,-7.179,-6.461,30.377,3.328,30.831,2.874,1,1,attack_maneuver,lock_on
4.200,86.174,86.073,86.202,86.092,5944.953,5963.874,5999.058,6024.542,358.266,354.249,340.929,354.069,0.523,1.269,-7.284,-6.539,24.033,4.439,24.494,3.978,1,1,attack_maneuver,lock_on
4.400,86.042,85.931,86.072,85.951,5944.929,5963.697,6004.710,6024.274,358.071,354.348,340.796,353.738,0.680,1.455,-7.264,-6.491,24.452,10.541,24.919,10.073,1,1,attack_maneuver,lock_on
4.600,85.910,85.790,85.941,85.811,5944.910,5963.329,6010.362,6024.578,358.048,354.422,341.067,353.741,0.541,1.344,-7.261,-6.460,27.693,9.763,28.166,9.289,1,1,attack_maneuver,lock_on
4.800,85.778,85.648,85.811,85.670,5944.799,5963.002,6015.665,6024.715,357.856,354.336,341.458,353.832,0.703,1.533,-7.144,-6.314,29.945,6.279,30.425,5.798,1,1,attack_maneuver,lock_on
5.000,85.647,85.506,85.681,85.530,5944.690,5962.914,6020.077,6023.850,357.837,354.357,341.700,353.751,0.560,1.420,-7.262,-6.404,30.714,6.394,31.201,5.906,1,1,attack_maneuver,lock_on
5.200,85.515,85.365,85.551,85.389,5944.488,5963.032,6023.311,6022.274,357.650,354.217,341.709,353.370,0.725,1.613,-7.106,-6.219,30.706,6.881,31.200,6.387,1,1,attack_maneuver,search
5.400,85.383,85.223,85.421,85.249,5944.286,5963.402,6025.623,6020.548,357.635,354.217,341.188,352.507,0.580,1.497,-7.230,-6.314,29.796,7.138,30.296,6.636,1,1,attack_maneuver,search
5.600,85.252,85.082,85.291,85.108,5943.917,5963.966,6027.062,6019.605,357.676,354.065,340.603,351.957,0.589,1.535,-7.087,-6.142,29.788,7.573,30.295,7.065,1,1,attack_maneuver,search
5.800,85.120,84.941,85.161,84.968,5943.544,5964.778,6028.035,6019.610,357.540,354.051,340.027,351.802,0.742,1.717,-7.216,-6.243,29.609,7.466,30.122,6.951,1,1,attack_maneuver,search
6.000,84.989,84.800,85.031,84.828,5943.335,5965.784,6028.999,6019.337,357.548,353.886,339.688,350.953,0.618,1.623,-7.080,-6.078,29.525,7.558,30.045,7.036,1,1,attack_maneuver,search
6.200,84.858,84.659,84.902,84.688,5943.128,5966.984,6029.761,6019.197,357.375,353.885,339.039,350.638,0.776,1.809,-7.214,-6.182,29.184,6.673,29.711,6.144,1,1,attack_maneuver,search
6.400,84.727,84.518,84.773,84.549,5942.969,5968.173,6029.945,6019.440,357.369,353.692,338.726,349.887,0.643,1.705,-7.082,-6.021,29.197,7.042,29.731,6.506,1,1,attack_maneuver,search
6.600,84.596,84.377,84.643,84.409,5942.736,5969.405,6029.590,6019.925,357.189,353.668,338.140,349.392,0.801,1.892,-7.222,-6.133,28.939,7.418,29.481,6.875,1,1,attack_maneuver,search
6.800,84.466,84.236,84.514,84.269,5942.514,5970.558,6029.056,6020.837,357.178,353.472,338.098,349.238,0.664,1.784,-7.092,-5.973,28.987,6.757,29.536,6.206,1,1,attack_maneuver,search
7.000,84.335,84.096,84.385,84.130,5942.203,5971.725,6028.238,6022.239,356.999,353.445,337.809,349.002,0.824,1.973,-7.236,-6.089,28.924,7.321,29.480,6.763,1,1,attack_maneuver,search
7.200,84.204,83.955,84.256,83.990,5941.896,5972.801,6027.172,6023.270,356.991,353.251,337.506,348.730,0.684,1.862,-7.104,-5.928,28.891,7.115,29.454,6.549,1,1,attack_maneuver,search
7.400,84.074,83.815,84.128,83.851,5941.494,5973.882,6026.096,6023.313,356.815,353.227,337.046,348.292,0.847,2.054,-7.251,-6.046,28.763,7.325,29.333,6.752,1,1,attack_maneuver,search
7.600,83.944,83.674,83.999,83.711,5941.095,5974.870,6025.215,6022.867,356.811,353.037,336.697,348.344,0.704,1.940,-7.117,-5.883,28.857,7.305,29.434,6.725,1,1,attack_maneuver,search
7.800,83.813,83.534,83.871,83.572,5940.527,5975.861,6024.484,6022.617,356.862,353.018,336.192,348.170,0.712,1.977,-7.266,-6.003,28.694,7.483,29.278,6.895,1,1,attack_maneuver,search
8.000,83.683,83.393,83.742,83.433,5939.956,5976.757,6023.965,6022.718,356.737,352.832,335.826,348.214,0.860,2.155,-7.128,-5.835,28.796,7.395,29.388,6.800,1,1,attack_maneuver,search
8.200,83.553,83.253,83.614,83.293,5939.595,5977.656,6023.587,6022.902,356.755,352.818,335.319,348.112,0.767,2.092,-7.279,-5.957,28.652,7.585,29.251,6.983,1,1,attack_maneuver,search
8.400,83.423,83.113,83.486,83.154,5939.435,5978.457,6023.418,6023.169,356.605,352.638,334.949,348.179,0.922,2.276,-7.136,-5.785,28.763,7.486,29.369,6.877,1,1,attack_maneuver,search
8.600,83.293,82.972,83.358,83.015,5939.471,5979.259,6023.388,6023.368,356.618,352.628,334.439,348.064,0.780,2.164,-7.289,-5.908,28.629,7.674,29.243,7.057,1,1,attack_maneuver,search
8.800,83.164,82.832,83.230,82.876,5939.497,5979.859,6023.520,6023.671,356.441,352.681,334.377,347.830,0.934,2.347,-7.298,-5.888,28.747,7.436,29.368,6.812,1,1,attack_maneuver,search
9.000,83.034,82.692,83.102,82.736,5939.565,5980.305,6023.609,6024.196,356.431,352.508,333.871,347.769,0.796,2.239,-7.175,-5.736,28.618,7.550,29.246,6.919,1,1,attack_maneuver,search
9.200,82.905,82.551,82.974,82.597,5939.554,5980.840,6023.726,6025.005,356.250,352.546,333.799,347.465,0.952,2.426,-7.296,-5.826,28.745,7.570,29.380,6.931,1,1,attack_maneuver,search
9.400,82.775,82.411,82.846,82.458,5939.554,5981.516,6023.741,6026.012,356.238,352.414,333.297,347.479,0.812,2.315,-7.160,-5.661,28.620,7.428,29.262,6.781,1,1,attack_maneuver,search
9.600,82.646,82.271,82.718,82.319,5939.461,5982.364,6023.756,6026.974,356.058,352.434,333.229,347.301,0.972,2.505,-7.301,-5.772,28.750,7.629,29.400,6.975,1,1,attack_maneuver,search
9.800,82.516,82.131,82.591,82.180,5939.372,5983.189,6023.660,6027.949,356.049,352.263,332.736,347.344,0.830,2.393,-7.166,-5.607,28.625,7.541,29.282,6.879,1,1,attack_maneuver,search
