Time_s,Missile_ID,Launcher_ID,Target_ID,X_m,Y_m,Z_m,Velocity_m_s,Status,Data_Type,Range_to_Target_km
47.0,A1001,A0100,B0100,-30905.852984609548,-3936.5618873305757,5971.759376834679,317.1613659728062,BOOST,Trajectory,59.80401112762912
47.2,A1001,A0100,B0100,-30840.91759318227,-3939.3977575959784,5972.563990866364,334.30245354006524,BOOST,Trajectory,59.67552749756326
47.400000000000006,A1001,A0100,B0100,-30772.545564749555,-3942.2701430134152,5973.402265429726,351.51964281075135,BOOST,Trajectory,59.54362613365413
47.6,A1001,A0100,B0100,-30700.72173724876,-3945.1750033745707,5974.274057197194,368.8122109859579,BOOST,Trajectory,59.40830430559986
47.800000000000004,A1001,A0100,B0100,-30625.431099950576,-3948.108479686448,5975.179226050308,386.1794015264577,BOOST,Trajectory,59.269579012971704
48.0,A1001,A0100,B0100,-30546.65877118617,-3951.0661228436948,5976.117570559661,403.6141912464605,BOOST,Trajectory,59.12730076861436
48.2,A1001,A0100,B0100,-30464.395729329095,-3953.9784143355946,5977.083770554972,421.05356425370576,BOOST,Trajectory,58.981245938354924
48.400000000000006,A1001,A0100,B0100,-30378.63320818948,-3956.799421931857,5978.074361487302,438.56368659042647,BOOST,Trajectory,58.83149452575196
48.6,A1001,A0100,B0100,-30289.357471565138,-3959.5240839954863,5979.089134492225,456.1436996404245,BOOST,Trajectory,58.67810679748438
48.800000000000004,A1001,A0100,B0100,-30196.554944516636,-3962.1475570702264,5980.127930067476,473.7927123431271,BOOST,Trajectory,58.52119321488175
49.0,A1001,A0100,B0100,-30100.212221252317,-3964.6651971704446,5981.190641983984,491.50979421646343,BOOST,Trajectory,58.36081182327203
49.0,A1002,A0100,B0100,-30288.53408711128,-3962.054359023671,5974.201078835056,416.78549583746764,BOOST,Trajectory,58.54788074991616
49.2,A1001,A0100,B0100,-30000.316074687064,-3967.0725315836526,5982.277209777847,509.2939656425173,BOOST,Trajectory,58.19691371672133
