Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.200,89.073,89.075,89.075,89.073,5941.022,5940.643,5940.763,5940.738,364.767,365.563,365.339,364.651,0.530,0.881,-0.559,-0.208,0.011,0.220,0.348,0.140,1,1,attack_maneuver,attack_maneuver
0.400,88.928,88.930,88.929,88.928,5943.276,5940.182,5941.213,5941.006,363.214,364.918,364.728,364.384,2.670,3.021,-1.068,-0.717,0.215,0.021,0.145,0.381,1,1,attack_maneuver,attack_maneuver
0.600,88.783,88.785,88.783,88.782,5947.571,5939.777,5941.703,5940.928,361.188,364.536,364.276,362.681,4.659,5.011,-5.685,-5.333,0.147,1.102,0.216,1.464,1,1,attack_maneuver,attack_maneuver
0.800,88.638,88.640,88.638,88.637,5953.113,5940.327,5942.123,5941.391,359.306,363.469,363.658,361.834,8.402,8.754,-5.318,-4.966,0.337,4.524,0.030,4.891,1,1,attack_maneuver,attack_maneuver
1.000,88.494,88.497,88.493,88.492,5958.933,5941.618,5942.562,5943.344,357.863,362.052,363.213,360.159,12.179,12.529,-8.879,-8.529,0.253,5.653,0.121,6.027,1,1,attack_maneuver,attack_maneuver
1.200,88.351,88.355,88.348,88.348,5964.519,5943.635,5942.920,5947.200,356.502,360.528,362.609,358.418,15.090,15.439,-10.928,-10.579,0.440,6.750,0.056,7.134,1,1,attack_maneuver,attack_maneuver
1.400,88.209,88.214,88.204,88.206,5969.960,5946.155,5943.293,5953.126,354.852,359.046,362.184,357.158,17.278,17.624,-13.364,-13.018,0.347,6.702,0.051,7.100,1,1,attack_maneuver,attack_maneuver
1.600,88.067,88.074,88.061,88.064,5975.500,5948.919,5943.583,5960.077,352.901,357.553,361.606,356.450,19.352,19.695,-15.749,-15.406,0.536,6.013,0.120,6.429,1,1,attack_maneuver,attack_maneuver
1.800,87.927,87.935,87.919,87.924,5980.940,5951.648,5943.887,5966.490,350.838,356.094,361.215,355.939,21.774,22.113,-18.109,-17.769,0.437,6.304,0.002,6.740,1,1,attack_maneuver,attack_maneuver
2.000,87.788,87.798,87.778,87.784,5985.468,5954.057,5944.105,5971.601,349.430,354.690,360.676,355.669,24.532,24.868,-20.426,-20.089,0.630,6.473,0.170,6.933,1,1,attack_maneuver,attack_maneuver
2.200,87.649,87.661,87.637,87.645,5988.719,5955.867,5944.334,5975.139,348.283,353.089,360.334,355.251,26.844,27.177,-22.705,-22.372,0.529,5.918,0.042,6.405,1,1,attack_maneuver,attack_maneuver
2.400,87.512,87.525,87.498,87.507,5990.766,5957.075,5944.476,5977.281,346.949,351.418,359.855,354.999,28.763,29.093,-24.869,-24.539,0.727,5.907,0.210,6.424,1,1,attack_maneuver,attack_maneuver
2.600,87.376,87.391,87.360,87.370,5991.824,5957.939,5944.627,5979.063,345.583,350.045,359.581,354.701,30.660,30.986,-27.045,-26.718,0.625,10.539,0.074,11.090,1,1,attack_maneuver,attack_maneuver
2.800,87.242,87.258,87.224,87.235,5992.208,5958.442,5944.688,5981.595,344.493,348.837,359.180,353.768,32.635,32.957,-29.222,-28.901,0.829,11.310,0.242,11.897,1,1,attack_maneuver,attack_maneuver
3.000,87.109,87.126,87.089,87.101,5992.443,5958.376,5944.754,5984.933,343.426,347.463,358.995,352.674,34.429,34.744,-31.398,-31.083,0.727,13.510,0.100,14.137,1,1,attack_maneuver,attack_maneuver
3.200,86.977,86.997,86.955,86.970,5993.204,5957.805,5944.656,5989.127,342.238,345.808,358.915,351.207,36.168,36.476,-33.541,-33.233,0.777,15.293,0.107,15.962,1,1,attack_maneuver,attack_maneuver
3.400,86.846,86.870,86.823,86.841,5994.937,5957.345,5944.559,5994.455,340.565,344.279,358.712,349.689,37.925,38.224,-35.623,-35.324,0.969,16.907,0.253,17.622,1,1,attack_maneuver,attack_maneuver
3.600,86.717,86.745,86.692,86.714,5997.367,5957.843,5944.627,6001.225,338.838,343.032,358.699,348.256,40.112,40.401,-37.284,-36.995,0.892,18.195,0.128,18.959,1,1,attack_maneuver,attack_maneuver
3.800,86.591,86.623,86.563,86.590,5999.576,5959.877,5944.701,6009.616,337.575,342.134,358.510,346.878,42.902,43.179,-38.354,-38.076,1.096,18.164,0.281,18.978,1,1,attack_maneuver,attack_maneuver
4.000,86.466,86.504,86.434,86.466,6001.133,5963.532,5944.824,6018.834,336.866,341.329,358.488,346.432,45.431,45.697,-38.120,-37.853,1.014,16.354,0.146,17.221,1,1,attack_maneuver,attack_maneuver
4.200,86.342,86.385,86.306,86.343,6002.290,5968.480,5944.874,6027.551,336.117,340.543,358.293,345.941,47.304,47.558,-37.540,-37.285,1.220,16.079,0.298,17.000,1,1,attack_maneuver,attack_maneuver
4.400,86.220,86.269,86.178,86.221,6003.573,5973.635,5944.938,6035.123,335.742,339.781,358.267,345.528,47.216,47.458,-37.511,-37.269,1.135,16.411,0.157,17.388,1,1,attack_maneuver,attack_maneuver
4.600,86.098,86.153,86.051,86.099,6005.054,5977.874,5944.913,6041.257,335.805,338.755,358.072,344.270,42.992,43.222,-37.414,-37.184,1.345,16.514,0.311,17.547,1,1,attack_maneuver,attack_maneuver
4.800,85.977,86.037,85.924,85.977,6006.124,5980.779,5944.894,6045.864,335.947,337.937,358.049,343.611,42.344,42.561,-37.310,-37.092,1.257,16.580,0.167,17.670,1,1,attack_maneuver,attack_maneuver
