Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0100,97.60000000000001,176.8,79.2,49472.18422381178,623.9624779731215,1117.7589868553857,TERMINAL
A200-1,A0200,B0200,97.60000000000001,176.8,79.2,55563.99464006496,700.8066031901575,1133.4466194035963,TERMINAL
B100-1,B0100,A0100,97.60000000000001,176.8,79.2,42704.86028588748,602.008634677235,958.5365197123567,HIT
A1000,A0100,B0200,99.60000000000001,176.8,77.2,54090.63908977627,699.8955465932266,1136.5938921040017,TERMINAL
A2000,A0200,B0100,99.60000000000001,176.8,77.2,47592.562899288394,615.8052868223735,1118.083043119441,TERMINAL
A1001,A0100,B0200,101.60000000000001,176.8,75.2,53495.69924620005,710.5879768746607,1136.2752742761081,TERMINAL
A2001,A0200,B0200,101.60000000000001,176.8,75.2,53528.78935373912,711.0284861186859,1136.0457377527316,TERMINAL
A1002,A0100,B0200,103.60000000000001,176.8,73.2,53146.905217508305,725.22358985362,1136.0310710074307,TERMINAL
A2002,A0200,B0200,103.60000000000001,176.8,73.2,53117.426799662106,724.8226582557766,1135.5548973486132,TERMINAL
B200-1,B0200,A0100,108.2,176.8,68.60000000000001,32483.272213561162,611.7620774160199,927.869463156338,HIT
B1000,B0100,A0100,111.80000000000001,176.8,65.0,38495.88354987053,637.4726481817977,962.5888611701272,HIT
B2000,B0200,A0200,118.2,176.8,58.60000000000001,36913.507619045966,630.1874445911745,909.5954044586243,HIT
B1001,B0100,A0100,122.60000000000001,176.8,54.2,36879.101763116814,679.3743409715803,958.4941269815937,TERMINAL
B1002,B0100,A0100,137.0,176.8,39.80000000000001,28690.97727045555,719.636143122714,940.9307028267428,TERMINAL
B2001,B0200,A0100,144.20000000000002,176.8,32.599999999999994,23716.8843954497,726.1315711705957,921.3460899929285,TERMINAL
B2002,B0200,A0100,155.0,176.8,21.80000000000001,16122.48632515055,738.0696751634719,931.1925439209871,MIDCOURSE
