Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A100-1,A0100,B0200,87.4,138.4,51.0,1117.3791683416,785.8151327283654,41.75421675541351,HIT
A200-1,A0200,B0100,87.4,145.20000000000002,57.80000000000001,1109.1363903904758,763.3348481734207,44.17714186673367,MISS
B200-1,B0200,A0100,87.4,145.20000000000002,57.80000000000001,944.9893849275722,691.8807550500783,39.9999890775273,HIT
A1000,A0100,B0200,89.4,145.20000000000002,55.80000000000001,1128.2335324931023,761.4126880620926,42.56767681865426,MISS
A2000,A0200,B0100,89.4,145.20000000000002,55.80000000000001,1117.8322350172407,749.7872307551588,41.8950804954049,MISS
B100-1,B0100,A0200,90.2,142.6,52.39999999999999,905.8170396717047,624.298541701297,33.20640502802578,HIT
A1001,A0100,B0100,91.4,145.20000000000002,53.80000000000001,1116.1035276123555,760.2299183301409,40.95693292771621,MISS
A2001,A0200,B0100,91.4,145.20000000000002,53.80000000000001,1116.6909169372575,760.6207483094511,40.97806312839458,MISS
A1002,A0100,B0100,93.4,145.20000000000002,51.80000000000001,1118.779899169454,755.9087273879335,39.21325946420718,MISS
A2002,A0200,B0200,93.4,143.8,50.400000000000006,1131.260187947931,780.2358219817144,39.88719239263939,HIT
B2000,B0200,A0100,97.4,145.20000000000002,47.80000000000001,938.6303341548472,710.6343816477143,34.019134616260985,MISS
B1000,B0100,A0100,101.0,145.20000000000002,44.20000000000002,887.86887855296,643.9853130659438,28.510413514424243,MISS
B2001,B0200,A0100,108.2,145.20000000000002,37.000000000000014,934.775554568096,734.9994320867404,27.242658827180982,MISS
B1001,B0100,A0100,111.80000000000001,145.20000000000002,33.400000000000006,880.4182195017746,673.9944896415526,22.55635447706955,MISS
B2002,B0200,A0200,119.0,145.20000000000002,26.200000000000017,936.4947469273251,749.0701858466269,19.664474195705342,MISS
B1002,B0100,A0100,133.4,145.20000000000002,11.800000000000011,781.0024727260709,584.5648186989354,6.903979718695076,MISS
