Time,Agent,X,Y,Altitude_m,Heading_deg,Speed_mps,Missiles,Status
1.0,A0100,13358386.032416044,6679438.35627519,6107.026495373476,347.86613204266786,229.6952263068716,2,ALIVE
1.0,A0200,13359499.232416052,6679438.356275191,6107.026495373476,347.86613204266746,229.69522630687092,2,ALIVE
1.0,B0100,13358414.311567571,6768017.672298675,6107.026314165196,167.8680712791306,229.69460920787634,2,ALIVE
1.0,B0200,13359527.511567574,6768017.672298672,6107.026314166332,167.86807127913093,229.6946092078771,2,ALIVE
2.0,A0100,13358302.785145441,6679662.653773853,6116.683027112595,343.17163910650953,222.74841318311348,2,ALIVE
2.0,A0200,13359415.985145444,6679662.6537738545,6116.6830271114595,343.1716391065083,222.74841318311206,2,ALIVE
2.0,B0100,13358499.590257285,6767793.399078395,6116.6858484213535,163.17514800574588,222.74819243613635,2,ALIVE
2.0,B0200,13359612.790257292,6767793.399078393,6116.685848422489,163.17514800574702,222.748192436138,2,ALIVE
3.0,A0100,13358244.54179809,6679881.513693083,6096.576257325671,6.00444131550375,216.70740980875513,2,ALIVE
3.0,A0200,13359357.741798095,6679881.513693082,6096.576257325671,6.004441315504081,216.70740980875368,2,ALIVE
3.0,B0100,13358559.237090625,6767574.560814651,6096.59477454342,186.0045019090964,216.70881600611494,2,ALIVE
3.0,B0200,13359672.437090628,6767574.56081465,6096.594774544556,186.00450190909618,216.7088160061166,2,ALIVE
4.0,A0100,13358211.256273095,6680097.6673904415,6096.3006913867775,347.64352640487164,210.97879639636741,2,ALIVE
4.0,A0200,13359324.456273101,6680097.667390441,6096.3006913867775,347.6435264048755,210.97879639636577,2,ALIVE
4.0,B0100,13358593.355932618,6767358.432026362,6096.333332683361,167.63149041294622,210.98073863387313,2,ALIVE
4.0,B0200,13359706.55593262,6767358.432026358,6096.333332684497,167.6314904129428,210.9807386338752,2,ALIVE
5.0,A0100,13358111.419854669,6680302.904144622,6095.927873200232,333.7277403307385,206.8059103804946,2,ALIVE
5.0,A0200,13359224.61985467,6680302.904144622,6095.927873202503,333.72774033073676,206.80591038049258,2,ALIVE
5.0,B0100,13358695.629718404,6767153.218188779,6095.943952201527,153.73618805946583,206.80993506931466,2,ALIVE
5.0,B0200,13359808.829718411,6767153.218188778,6095.943952202663,153.7361880594706,206.80993506931927,2,ALIVE
6.0,A0100,13357992.660796758,6680496.036945683,6051.228871764887,349.4200717071391,203.64516407438333,2,ALIVE
6.0,A0200,13359105.860796759,6680496.036945678,6051.228871767157,349.42007170712924,203.64516407438146,2,ALIVE
6.0,B0100,13358817.181080675,6766960.095703613,6051.225457427055,169.44720686464714,203.64695735400883,2,ALIVE
6.0,B0200,13359930.381080672,6766960.095703608,6051.225457428191,169.44720686466383,203.64695735401358,2,ALIVE
7.0,A0100,13357944.385073075,6680686.554392484,5980.203878946466,10.071219263209535,200.86712640113623,2,ALIVE
7.0,A0200,13359057.585073076,6680686.554392478,5980.203878949872,10.07121926320401,200.8671264011357,2,ALIVE
7.0,B0100,13358866.509290626,6766769.586125571,5980.230723941007,190.08431065122076,200.84536581768518,2,ALIVE
7.0,B0200,13359979.709290622,6766769.586125565,5980.2307239432785,190.08431065122537,200.84536581768893,2,ALIVE
8.0,A0100,13357958.916724833,6680881.828479198,5929.028597474215,6.886740998519411,196.7879521031015,2,ALIVE
8.0,A0200,13359072.116724834,6680881.828479191,5929.028597478757,6.886740998521719,196.78795210310352,2,ALIVE
8.0,B0100,13358851.583061669,6766574.360673989,5929.123577513176,186.88699253879568,196.72380270755704,2,ALIVE
8.0,B0200,13359964.783061666,6766574.360673982,5929.123577516583,186.88699253877874,196.7238027075611,2,ALIVE
9.0,A0100,13357957.893305868,6681078.488079096,5913.830283583447,349.8128765939585,191.3585113605045,2,ALIVE
9.0,A0200,13359071.093305867,6681078.488079091,5913.8302835879895,349.81287659396656,191.3585113605098,2,ALIVE
9.0,B0100,13358852.574296422,6766377.8022236405,5913.996168005196,169.83595899892228,191.25299642764878,2,ALIVE
9.0,B0200,13359965.774296423,6766377.802223635,5913.996168008602,169.83595899889656,191.25299642765467,2,ALIVE
10.0,A0100,13357882.411654815,6681266.050583221,5913.9525658474,331.7802031284799,185.99681552959265,2,ALIVE
10.0,A0200,13358995.611654812,6681266.050583213,5913.952565853077,331.78020312849,185.99681552960018,2,ALIVE
10.0,B0100,13358929.661843566,6766190.370588745,5914.259964650891,151.8058169770243,185.84575796543314,2,ALIVE
10.0,B0200,13360042.861843573,6766190.370588742,5914.259964653162,151.8058169770054,185.8457579654426,2,ALIVE
11.0,A0100,13357729.603861894,6681434.8584643835,5898.09305388996,320.16399837213595,181.94556270166072,2,ALIVE
11.0,A0200,13358842.803861894,6681434.858464377,5898.093053895637,320.16399837214504,181.94556270166925,2,ALIVE
11.0,B0100,13359085.896477008,6766021.698398842,5898.735861331129,140.13352105677404,181.74405491772063,2,ALIVE
11.0,B0200,13360199.096477013,6766021.698398836,5898.7358613334,140.13352105676947,181.74405491773481,2,ALIVE
12.0,A0100,13357539.230672726,6681581.1381715685,5843.910597201428,318.2059742366966,180.28077896340488,2,ALIVE
12.0,A0200,13358652.430672724,6681581.138171561,5843.910597207106,318.2059742366918,180.2807789634123,2,ALIVE
12.0,B0100,13359280.918583844,6765875.575245577,5845.0922864562035,138.04089601303497,180.01660009902014,2,ALIVE
12.0,B0200,13360394.11858385,6765875.575245572,5845.0922864596105,138.0408960130509,180.0166000990388,2,ALIVE
13.0,A0100,13357368.894957514,6681709.091689984,5746.120408366585,332.82092012482246,180.81306609184836,2,ALIVE
13.0,A0200,13358482.094957508,6681709.091689976,5746.120408371127,332.82092012478,180.81306609185478,2,ALIVE
13.0,B0100,13359456.061434079,6765747.868646157,5747.892413625151,152.35217598453949,180.49056303755424,2,ALIVE
13.0,B0200,13360569.261434086,6765747.868646154,5747.892413626287,152.35217598458942,180.49056303757587,2,ALIVE
14.0,A0100,13357267.635861292,6681830.807167656,5618.398538282955,1.2108417462089864,182.2612225990703,2,ALIVE
14.0,A0200,13358380.83586129,6681830.80716765,5618.398538288632,1.210841746168249,182.26122259907842,2,ALIVE
14.0,B0100,13359561.124061666,6765626.603430589,5620.527088829631,180.78354445097222,181.90826131713732,2,ALIVE
14.0,B0200,13360674.324061675,6765626.603430587,5620.527088830766,180.7835444510211,181.9082613171591,2,ALIVE
15.0,A0100,13357248.09329961,6681962.278930005,5488.2176392736255,13.365853018043397,183.12382642540626,2,ALIVE
15.0,A0200,13358361.293299606,6681962.278929996,5488.2176392793035,13.365853018050467,183.12382642541945,2,ALIVE
15.0,B0100,13359582.538332589,6765495.856483059,5490.200185386274,193.32735480655074,182.76677338174446,2,ALIVE
15.0,B0200,13360695.738332601,6765495.856483055,5490.200185387409,193.32735480656612,182.7667733817643,2,ALIVE
16.0,A0100,13357275.09284633,6682113.7561332155,5381.416462840158,9.073270005617756,182.5095358487285,2,ALIVE
16.0,A0200,13358388.292846322,6682113.756133205,5381.4164628447,9.073270005656626,182.50953584874898,2,ALIVE
16.0,B0100,13359555.37700578,6765345.237674039,5382.802291487691,189.28488912529187,182.16142476809733,2,ALIVE
16.0,B0200,13360668.577005789,6765345.237674033,5382.802291489962,189.28488912528948,182.16142476811487,2,ALIVE
17.0,A0100,13357290.496406887,6682282.814783176,5307.725976003805,356.07361257325266,180.51129897920666,2,ALIVE
17.0,A0200,13358403.696406877,6682282.814783165,5307.725976009482,356.0736125733161,180.51129897923303,2,ALIVE
17.0,B0100,13359538.715255087,6765176.902792187,5308.407418051923,176.47068677440134,180.1637119396454,2,ALIVE
