Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.200,89.074,89.075,89.075,89.073,5941.022,5940.643,5940.762,5940.796,364.767,365.563,364.651,365.324,0.530,0.881,-0.559,-0.208,0.131,0.343,0.490,0.016,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
0.400,88.928,88.929,88.929,88.927,5943.276,5940.182,5941.030,5941.521,363.214,364.918,364.384,364.730,2.670,3.021,-1.068,-0.717,0.372,0.549,0.732,0.188,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
0.600,88.783,88.784,88.784,88.782,5947.571,5939.777,5940.951,5942.500,361.188,364.536,362.681,364.270,4.659,5.011,-5.685,-5.333,1.454,0.481,1.816,0.119,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
0.800,88.639,88.640,88.638,88.636,5953.113,5940.327,5941.415,5943.693,359.306,363.469,361.834,363.661,8.402,8.755,-5.318,-4.966,4.876,0.676,5.243,0.309,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
1.000,88.495,88.496,88.494,88.491,5958.933,5941.618,5943.367,5945.093,357.863,362.052,360.159,363.221,12.177,12.532,-8.881,-8.526,6.006,0.587,6.380,0.213,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
1.200,88.353,88.353,88.350,88.346,5964.519,5943.635,5947.223,5946.492,356.502,360.528,358.418,362.598,15.085,15.443,-10.932,-10.574,7.103,0.777,7.488,0.393,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
1.400,88.212,88.211,88.208,88.202,5969.960,5946.155,5953.148,5947.942,354.852,359.046,357.158,362.153,17.270,17.632,-13.372,-13.010,7.056,0.683,7.454,0.285,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
1.600,88.072,88.069,88.066,88.059,5975.500,5948.919,5960.099,5949.321,352.901,357.553,356.450,361.548,19.340,19.706,-15.761,-15.395,6.368,0.873,6.783,0.457,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
1.800,87.933,87.929,87.926,87.917,5980.940,5951.648,5966.512,5950.719,350.838,356.094,355.939,361.130,21.758,22.129,-18.124,-17.754,6.659,0.774,7.095,0.338,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
2.000,87.796,87.790,87.786,87.776,5985.468,5954.057,5971.622,5952.033,349.430,354.690,355.669,360.565,24.513,24.887,-20.445,-20.070,6.829,0.968,7.289,0.508,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
2.200,87.659,87.652,87.647,87.635,5988.719,5955.867,5975.160,5953.357,348.283,353.089,355.251,360.195,26.821,27.200,-22.728,-22.349,6.275,0.867,6.762,0.380,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
2.400,87.523,87.515,87.509,87.496,5990.766,5957.075,5977.301,5954.593,346.949,351.418,354.999,359.688,28.736,29.120,-24.896,-24.512,6.264,1.066,6.781,0.549,0,0,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
2.600,87.388,87.379,87.373,87.358,5991.824,5957.939,5979.083,5955.836,345.583,350.045,354.701,359.388,30.629,31.018,-27.076,-26.687,10.896,0.964,11.447,0.413,1,1,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
2.800,87.255,87.245,87.238,87.221,5992.208,5958.442,5981.613,5956.988,344.493,348.837,353.768,358.960,32.599,32.993,-29.259,-28.864,11.668,1.169,12.255,0.582,1,1,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
3.000,87.124,87.112,87.104,87.086,5992.443,5958.376,5984.951,5958.144,343.426,347.463,352.674,358.748,34.386,34.787,-31.442,-31.040,13.868,1.068,14.496,0.440,1,1,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
3.200,86.994,86.980,86.973,86.952,5993.204,5957.805,5989.144,5959.206,342.238,345.808,351.207,358.419,36.117,36.527,-33.593,-33.182,15.652,1.279,16.321,0.610,1,1,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
3.400,86.867,86.850,86.845,86.820,5994.937,5957.345,5994.471,5960.269,340.565,344.279,349.689,358.314,37.864,38.284,-35.683,-35.263,17.267,1.178,17.982,0.463,1,1,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
3.600,86.742,86.722,86.718,86.689,5997.367,5957.843,6001.180,5961.130,338.838,343.032,348.538,358.320,40.041,40.472,-37.355,-36.923,17.558,1.216,18.322,0.452,1,1,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
3.800,86.620,86.595,86.594,86.560,5999.576,5959.877,6009.053,5961.827,337.575,342.134,347.472,358.111,42.819,43.262,-38.436,-37.993,16.857,1.428,17.672,0.613,1,1,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
4.000,86.500,86.471,86.470,86.431,6001.133,5963.532,6017.271,5962.500,336.866,341.329,347.127,358.071,45.336,45.792,-38.214,-37.758,15.563,1.355,16.431,0.488,1,1,钳形攻击-NLT_MELD,钳形攻击-NLT_MELD
